nombre,link,direccion,tipo,categoria,telefono,email,web,coordenadas,web_interna,situacion_caminos_de_santiago,soles_repsol,horario_de_admisión:,tipos_de_servicios,regímenes,plazas_totales_calculadas,clasificación,servicios_de_autocaravanas,situacion_acceso,declaración,principales_monumentos,número_de_tiendas,tipo_tiendas,actividades,servicios_convenciones,alquiler,habitaciones,más_información,descripción_de_actividades,navegación,períodos_de_funcionamiento,servicios_de_las_instalaciones,servicios_de_la_población,características,rango,accesibilidad,estrellas_michelin,situación,superficie,servicios,información_y_equipamientos,artesanos,actividad_del_taller,otras_características,salones,tarjetas,estilos,orden_religiosa,el_paseo,accesibilidad_a_tener_en_cuenta
BOCATERIA TRIS,https://www.turismo.gal/recurso/-/detalle/v-po-001173/-bocateria-tris?langId=es_ES&tp=1001549&ctre=40000240,"Calle FRAY JUAN DE NAVARRETE, nº 10 36001 Pontevedra - Pontevedra",Café bar,,,bocateriatris@hotmail.es,https://www.facebook.com/bocateriatris,"42º 25' 44.4"" N - 8º 38' 31.7"" W",https://www.facebook.com/bocateriatris,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 NORTES,https://www.turismo.gal/recurso/-/detalle/v-po-008845/3-nortes-?langId=es_ES&tp=1001549&ctre=40000240,"Praza de San José, nº 2 36001 Pontevedra - Pontevedra",Café bar,,,3nortespontevedra@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,https://www.turismo.gal/recurso/-/detalle/v-po-005481/33?langId=es_ES&tp=1001549&ctre=40000240,"Calle Rosalía de Castro, nº 78 36003 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A CAPELA,https://www.turismo.gal/recurso/-/detalle/v-po-006865/a-capela?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Mauro, nº 35 36004 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A CASA DA LEÑA,https://www.turismo.gal/recurso/-/detalle/22596/a-casa-da-lena?langId=es_ES&tp=24&ctre=142,"Calle Figueroa , nº 33 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 722 489 576,GGUERRERO_04@HOTMAIL.COM,,"42º 25' 57.6"" N - 8º 38' 36.3"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A CASA DE PEDRA,https://www.turismo.gal/recurso/-/detalle/259729784/a-casa-de-pedra?langId=es_ES&tp=24&ctre=142,"Calle Ramón Otero Pedrayo, nº 9 36004 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 651 668 376,alvaropsampaio@hotmail.es,,"42º 25' 05.8"" N - 8º 38' 02.6"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A CASTAÑA,https://www.turismo.gal/recurso/-/detalle/v-po-003674/a-castana?langId=es_ES&tp=1001549&ctre=40000240,"Calle Cruz Vermella, nº 8 36002 Pontevedra - Pontevedra",Café bar,,,malaquiasrivasjm@gmail.com,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DE BERNARDINO,https://www.turismo.gal/recurso/-/detalle/210311001238/a-de-bernardino?langId=es_ES&tp=1001549&ctre=40000240,"Lugar VIlares, nº 11 36154 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DE MEIRA,https://www.turismo.gal/recurso/-/detalle/v-po-006092/a-de-meira?langId=es_ES&tp=1001549&ctre=40000240,"RÚA LOUREIRO CRESPO,Nº 72 36004 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DE PACO,https://www.turismo.gal/recurso/-/detalle/v-po-008625/a-de-paco?langId=es_ES&tp=1001549&ctre=40000240,"Igrexa , nº 34 36143 Pontevedra - Pontevedra",Café bar,,,,,"42º 24' 42.6"" N - 8º 38' 53.2"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DE PILI,https://www.turismo.gal/recurso/-/detalle/171205000016/a-de-pili?langId=es_ES&tp=1001549&ctre=40000240,"LG. FONTANS - SANTA MARIA DE XEVE, nº 15 36151 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DE TITA,https://www.turismo.gal/recurso/-/detalle/v-po-007389/a-de-tita?langId=es_ES&tp=1001549&ctre=40000240,"Calle RAFAEL DIESTE, nº 3 36004 Pontevedra - Pontevedra",Café bar,,,adetitapontevedra@gmail.com,,"42º 24' 44.9"" N - 8º 37' 27.3"" W",,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DEVESA 1,https://www.turismo.gal/recurso/-/detalle/v-po-007189/a-devesa-1?langId=es_ES&tp=1001549&ctre=40000240,"Calle Loureiro Crespo, nº 56 36004 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DEVESA 6,https://www.turismo.gal/recurso/-/detalle/v-po-008710/a-devesa-6?langId=es_ES&tp=1001549&ctre=40000240,JUAN BAUTISTA ANDRADE ESQUINA LUIS OTERO 5 Pontevedra - Pontevedra,Café bar,,,,https://www.adevesa.es/,,https://www.adevesa.es/,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DEVESA 7,https://www.turismo.gal/recurso/-/detalle/v-po-008712/a-devesa-7?langId=es_ES&tp=1001549&ctre=40000240,"LOUREIRO CRESPO - ESQUINA RUA DA HISTORIA,S/N 0 Pontevedra - Pontevedra",Café bar,,,,https://www.adeves.es/,,https://www.adeves.es/,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A DEVESA MONTEPORREIRO,https://www.turismo.gal/recurso/-/detalle/200415000117/a-devesa-monteporreiro?langId=es_ES&tp=1001549&ctre=40000240,"Calle Italia - Monteporreiro, nº 35 36162 Pontevedra - Pontevedra",Café bar,,,,http://www.adeves.es/,,http://www.adeves.es/,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A FERVELLA,https://www.turismo.gal/recurso/-/detalle/210311001197/a-fervella?langId=es_ES&tp=1001549&ctre=40000240,"Praza de Abastos Pontevedra, nº Posto 24B-26B 36001 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A FRACHA,https://www.turismo.gal/recurso/-/detalle/180112000101/a-fracha?langId=es_ES&tp=4&ctre=16,Pontevedra - Pontevedra,Área de recreo,,,,,"42º 23' 45.5"" N - 8º 35' 24.5"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A MURALLA,https://www.turismo.gal/recurso/-/detalle/11601/a-muralla?langId=es_ES&tp=24&ctre=142,"Michelena, 20 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 854 868,,,"42º 25' 52.2"" N - 8º 38' 42.3"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A NOSA NASA,https://www.turismo.gal/recurso/-/detalle/180216000154/a-nosa-nasa?langId=es_ES&tp=24&ctre=142,"Calle Da Santiña, nº 35 36005 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 606 181 164,xefe@xefedabirra.com,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A PARRILLA,https://www.turismo.gal/recurso/-/detalle/269855350/a-parrilla?langId=es_ES&tp=24&ctre=142,"Uxío Novoneira, 3 36003 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 864 814,,,"42º 25' 40.9"" N - 8º 38' 18.9"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A POLBERIA,https://www.turismo.gal/recurso/-/detalle/191017000193/a-polberia?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sierra (Mercado de Abastos), nº 5 - Posto 23 B 36003 Pontevedra - Pontevedra",Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A PONTE,https://www.turismo.gal/recurso/-/detalle/11675/a-ponte?langId=es_ES&tp=24&ctre=142,36154 Pontevedra - Pontevedra,Restaurante,4ª Categoría - 1 Tenedor,+34 986 856 045,,,"42º 25' 22.1"" N - 8º 36' 42.8"" W",,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A ROMANA,https://www.turismo.gal/recurso/-/detalle/v-po-009396/a-romana?langId=es_ES&tp=1001549&ctre=40000240,nº 23 36690 Pontevedra - Pontevedra,Café bar,,,,,,,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A TABERNA ZENTOLA,https://www.turismo.gal/recurso/-/detalle/c-po-001167/a-taberna-zentola?langId=es_ES&tp=1001550&ctre=40000242,"RÚA CHARIÑO, 5, BAIXO 36002 Pontevedra - Pontevedra",Cafetería,,,locales@negocioagil.es,https://tabernazentola.com/,"42º 25' 57.1"" N - 8º 38' 47.7"" W",https://tabernazentola.com/,Camino Portugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
