nombre,link,direccion,tipo,categoria,telefono,email
A COVA DO TRASNO,https://www.turismo.gal/recurso/-/detalle/200513000053/-a-cova-do-trasno?langId=es_ES&tp=24&ctre=142,"Calle Plateria, nº 49 36980 O Grove - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 173 289,pili@victorotero.com
BOCATERIA TRIS,https://www.turismo.gal/recurso/-/detalle/v-po-001173/-bocateria-tris?langId=es_ES&tp=1001549&ctre=40000240,"Calle FRAY JUAN DE NAVARRETE, nº 10 36001 Pontevedra - Pontevedra",Café bar,,,bocateriatris@hotmail.es
CASA AVIC,https://www.turismo.gal/recurso/-/detalle/15350/-casa-avic?langId=es_ES&tp=24&ctre=142,"Calle Pedro Soto Couselo, nº 3 36995 Poio - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 842 403,amofreievents@hotmail.com
CASA SOLEIRO,https://www.turismo.gal/recurso/-/detalle/14238/-casa-soleiro?langId=es_ES&tp=24&ctre=142,"Barrio Ponte, nº 9 36388 Gondomar - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 661 004 193,
FERVI,https://www.turismo.gal/recurso/-/detalle/v-po-007519/-fervi-?langId=es_ES&tp=1001549&ctre=40000240,"Calle Corredoira, nº 33 Lalín - Pontevedra",Café bar,,,casarinho@hotmail.com
HONG KONG,https://www.turismo.gal/recurso/-/detalle/210306000495/-hong-kong?langId=es_ES&tp=1001549&ctre=40000240,"Calle Bailén, nº 1 36206 Vigo - Pontevedra",Café bar,,,
NOSA TERRA,https://www.turismo.gal/recurso/-/detalle/v-po-001899/-nosa-terra?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Novas, nº 26 36770 O Rosal - Pontevedra",Café bar,,,nosaterraorosal@gmail.com
O PADRIÑO,https://www.turismo.gal/recurso/-/detalle/230915000283/-o-padrino?langId=es_ES&tp=1001549&ctre=40000240,"Lugar O Vinquiño, nº 12 A 36960 Sanxenxo - Pontevedra",Café bar,,,
PITA NA CURVA,https://www.turismo.gal/recurso/-/detalle/v-po-007536/-pita-na-curva?langId=es_ES&tp=1001549&ctre=40000240,"Avenida De Marín, nº 3 36940 Cangas - Pontevedra",Café bar,,,begoiandamian@gmail.com
VEROSONI II,https://www.turismo.gal/recurso/-/detalle/c-po-000744/verosoni-ii?langId=es_ES&tp=1001550&ctre=40000242,"Calle María Berdiales , nº 15 36201 Vigo - Pontevedra",Cafetería,,,
SIKEVOY,https://www.turismo.gal/recurso/-/detalle/v-po-007091/-sikevoy?langId=es_ES&tp=1001549&ctre=40000240,"Estrada de Miranxe, nº 8 36770 O Rosal - Pontevedra",Café bar,,,SIKEVOY@OUTLOOK.COM
"""ASADOR TAPERIA DO MAR""",https://www.turismo.gal/recurso/-/detalle/15241/-asador-taperia-do-mar-?langId=es_ES&tp=24&ctre=142,"LAS SINAS, nº 116 36620 Vilanova de Arousa - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 628 572 108,sindemasesores@yahoo.es
"""DOCE TAPAS DOCE CEPAS""",https://www.turismo.gal/recurso/-/detalle/210311001346/-doce-tapas-doce-cepas-?langId=es_ES&tp=1001549&ctre=40000240,"Calle Baldosa, nº 6 36600 Vilagarcía de Arousa - Pontevedra",Café bar,,,lydia_santos7@hotmail.com
"""LA CALA DE CANELIÑAS""",https://www.turismo.gal/recurso/-/detalle/190523000411/-la-cala-de-canelinas-?langId=es_ES&tp=24&ctre=142,"Avenida Pontevedra, nº 40 36970 Sanxenxo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 886 213 223,
"""POLAR""",https://www.turismo.gal/recurso/-/detalle/210913000191/-polar-?langId=es_ES&tp=1001549&ctre=40000240,"Calle Principe , nº 22 - Local 16 36202 Vigo - Pontevedra",Café bar,,,nlopezcostas@gmail.com
+ QUE DOS,https://www.turismo.gal/recurso/-/detalle/v-po-004134/-que-dos?langId=es_ES&tp=1001549&ctre=40000240,"Calle Fragata Almansa, nº 31 36950 Moaña - Pontevedra",Café bar,,,MASSIMILIANOCALVARUSO8402@GMAIL.COM
100 MONTADITOS,https://www.turismo.gal/recurso/-/detalle/v-po-006315/100-montaditos?langId=es_ES&tp=1001549&ctre=40000240,"Plaza Compostela, nº 2 36201 Vigo - Pontevedra",Café bar,,,B06787030@franquiciados100m.es
100 MONTADITOS VIALIA - VIGO,https://www.turismo.gal/recurso/-/detalle/211005000074/100-montaditos-vialia-vigo?langId=es_ES&tp=1001549&ctre=40000240,"Plaza Praza da Estación - C.C. Vialia - Vigo, Local 124 - Porta 4, nº 1 36201 Vigo - Pontevedra",Café bar,,,
118,https://www.turismo.gal/recurso/-/detalle/v-po-009241/118?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Galicia, nº 36 36400 O Porriño - Pontevedra",Café bar,,,davidpumar1993@gmail.com
20 BERZAS,https://www.turismo.gal/recurso/-/detalle/v-po-009192/20-berzas?langId=es_ES&tp=1001549&ctre=40000240,"TRAV. DE VEA, 9 - LOCAL 2 0 A Estrada - Pontevedra",Café bar,,,
3 GRANOS COFFEE AND BRUNCH,https://www.turismo.gal/recurso/-/detalle/v-po-007365/3-granos-coffee-and-brunch?langId=es_ES&tp=1001549&ctre=40000240,"Calle Manuel Núñez, nº 13 36202 Vigo - Pontevedra",Café bar,,,
3 NORTES,https://www.turismo.gal/recurso/-/detalle/v-po-008845/3-nortes-?langId=es_ES&tp=1001549&ctre=40000240,"Praza de San José, nº 2 36001 Pontevedra - Pontevedra",Café bar,,,3nortespontevedra@gmail.com
33,https://www.turismo.gal/recurso/-/detalle/v-po-005481/33?langId=es_ES&tp=1001549&ctre=40000240,"Calle Rosalía de Castro, nº 78 36003 Pontevedra - Pontevedra",Café bar,,,
4 COUSAS,https://www.turismo.gal/recurso/-/detalle/230420000316/4-cousas?langId=es_ES&tp=1001549&ctre=40000240,"Lugar Porto Meloxo, nº 100 36989 O Grove - Pontevedra",Café bar,,,eladiomuniz.em@hotmail.com
4 DE MAYO,https://www.turismo.gal/recurso/-/detalle/170905000069/4-de-mayo?langId=es_ES&tp=1001549&ctre=40000240,"Avenida MONTERO RIOS, nº 181 36930 Bueu - Pontevedra",Café bar,,,
4 VENTOS,https://www.turismo.gal/recurso/-/detalle/240206000071/4-ventos?langId=es_ES&tp=1001549&ctre=40000240,"Carretera Valadares, nº 412 36315 Vigo - Pontevedra",Café bar,,+34 622 170 253,
