nombre,link,direccion,tipo,categoria,telefono,email
A ESTRADA CCA,https://www.turismo.gal/recurso/-/detalle/269569181/a-estrada-cca?langId=es_ES&tp=40&ctre=228,36680 A Estrada - Pontevedra,Área Comercial Urbana,,,
A FIASTA,https://www.turismo.gal/recurso/-/detalle/35246/a-fiasta?langId=es_ES&tp=49&ctre=282,A Fortaleza de San Lourenzo 36740 Tomiño - Pontevedra,Feria,mercado rural,,
A RAPA DAS BESTAS DE SABUCEDO,https://www.turismo.gal/recurso/-/detalle/fi-po-000012/a-rapa-das-bestas-de-sabucedo?langId=es_ES&tp=97&ctre=262,36360 A Estrada - Pontevedra,Fiestas de interés turístico Internacional,,,
ACTIVEGALICIA ADVENTURE SPORTS,https://www.turismo.gal/recurso/-/detalle/180910000077/activegalicia-adventure-sports-?langId=es_ES&tp=85&ctre=172,"Calle Progreso, nº 142 36960 Sanxenxo - Pontevedra",Empresas de actividades deportivas,,,
"ACTIVITUR, S.L.",https://www.turismo.gal/recurso/-/detalle/td-po-000143/activitur-s.l.?langId=es_ES&tp=85&ctre=172,"AREAL, 68 36201 Nigrán - Pontevedra",Empresas de actividades deportivas,,,
ADRENALICIA PARQUE DE PAINTBALL PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/200703000079/adrenalicia-parque-de-paintball-pontevedra?langId=es_ES&tp=85&ctre=172,"Avenida Portugal , nº 40 36980 O Grove - Pontevedra",Empresas de actividades deportivas,,,
AI XOIAS DE AUTOR,https://www.turismo.gal/recurso/-/detalle/21112/ai-xoias-de-autor?langId=es_ES&tp=55&ctre=1000141,"Calle Pizarro, 71. , nº 71 36204 Vigo - Pontevedra",Talleres artesanales,,+34 986 481 168,ai@aijoyasdeautor.com
ALCAMPO VIGO (AVDA MADRID),https://www.turismo.gal/recurso/-/detalle/21265/alcampo-vigo-avda-madrid-?langId=es_ES&tp=40&ctre=227,Avda de Madrid 36214 Vigo - Pontevedra,Hipermercados,,+34 986 417 000,vigo.avdamadrid@alcampo.es
ALCAMPO VIGO (R/ O GROVE),https://www.turismo.gal/recurso/-/detalle/21266/alcampo-vigo-r/-o-grove-?langId=es_ES&tp=40&ctre=227,Grove 1. Plgno Indus.de Coia 36209 Vigo - Pontevedra,Hipermercados,,+34 986 201 010,
ALECRÍN ACTIVIDADES Y AVENTURA,https://www.turismo.gal/recurso/-/detalle/190130000434/alecrin-actividades-y-aventura?langId=es_ES&tp=85&ctre=172,"Travesía Currás, nº 34 36214 Vigo - Pontevedra",Empresas de actividades deportivas,,,info@alecrinactividades.com
ALL THE CHARTHERS,https://www.turismo.gal/recurso/-/detalle/nr-po-000274/all-the-charthers?langId=es_ES&tp=85&ctre=172,"CALLE VELAZQUEZ MORENO, 2 0 Vigo - Pontevedra",Empresas de actividades deportivas,,,
ALL4SUMMITS,https://www.turismo.gal/recurso/-/detalle/240916000243/all4summits?langId=es_ES&tp=85&ctre=172,"Calle Bueu, nº 1 36209 Vigo - Pontevedra",Empresas de actividades deportivas,,,
ALQUIJET AROUSA,https://www.turismo.gal/recurso/-/detalle/170626001407/alquijet-arousa?langId=es_ES&tp=85&ctre=172,"LG. CASTILLO DE CIRA , nº 30 36587 Silleda - Pontevedra",Empresas de actividades deportivas,,,
"ALTITUDE, OCIO E EDUCACION AMBIENTAL",https://www.turismo.gal/recurso/-/detalle/240903000018/altitude-ocio-e-educacion-ambiental?langId=es_ES&tp=85&ctre=172,"Calle Colón, nº 18 36700 Tui - Pontevedra",Empresas de actividades deportivas,,,info@altitudeocio.com
ALVAMAR,https://www.turismo.gal/recurso/-/detalle/32610/alvamar?langId=es_ES&tp=85&ctre=172,"Pombal, 6 portal 2 - 6ºE 36630 Cambados - Pontevedra",Empresas de actividades deportivas,,,info@alvamararousa.com
"AMARE TURISMO NAUTICO, S.L.",https://www.turismo.gal/recurso/-/detalle/280379472/amare-turismo-nautico-s.l.?langId=es_ES&tp=85&ctre=172,"Trav. Pombal, nº 4 36901 A Illa de Arousa - Pontevedra",Empresas de actividades deportivas,,+34 650 410 323 / +34 650 410 322,info@amareturismonautico.com
AMBITUS ACTIVE SLNE,https://www.turismo.gal/recurso/-/detalle/nr-po-000368/ambitus-active-slne?langId=es_ES&tp=85&ctre=172,"RUA CASTIÑEIROS, 8 0 Sanxenxo - Pontevedra",Empresas de actividades deportivas,,,
AO PÉ DO CASTELO DE MONTERREAL,https://www.turismo.gal/recurso/-/detalle/210429001690/ao-pe-do-castelo-de-monterreal?langId=es_ES&tp=40004370,Baiona - Pontevedra,Paseos,,,
APALAOOSA S.L.,https://www.turismo.gal/recurso/-/detalle/24252/apalaoosa-s.l.?langId=es_ES&tp=85&ctre=172,36158 Pontevedra - Pontevedra,Empresas de actividades deportivas,,+34 986 858 577,
APAMP,https://www.turismo.gal/recurso/-/detalle/280376627/apamp?langId=es_ES&tp=55&ctre=1000141,"Calle Miguel Hernández, nº 1 36210 Vigo - Pontevedra",Talleres artesanales,,+34 986 294 422,apamp@correo.cop.es
AQUAMIÑO & TAMUXE KAYAK,https://www.turismo.gal/recurso/-/detalle/271980601/aquamino-tamuxe-kayak?langId=es_ES&tp=85&ctre=172,"San Telmo, 19 36700 Tui - Pontevedra",Empresas de actividades deportivas,,,info@aquamino.com
ARBOMOSTRA,https://www.turismo.gal/recurso/-/detalle/35196/arbomostra?langId=es_ES&tp=49&ctre=285,Miguel Dávila Colexio Público 36430 Arbo - Pontevedra,Muestras,,,
ÁREA COMERCIAL URBANA DA GUARDA,https://www.turismo.gal/recurso/-/detalle/269571562/area-comercial-urbana-da-guarda?langId=es_ES&tp=40&ctre=228,Casco Urbano 36780 A Guarda - Pontevedra,Área Comercial Urbana,,+34 986 610 000,turismo@aguarda.es
ARELADEFE,https://www.turismo.gal/recurso/-/detalle/170818000183/areladefe?langId=es_ES&tp=55&ctre=1000141,nº 4 36309 Oia - Pontevedra,Talleres artesanales,,,info@areladefe.com
AREOSO FUN SL,https://www.turismo.gal/recurso/-/detalle/240405000089/areoso-fun-sl?langId=es_ES&tp=85&ctre=172,"Calle As Aceñas, nº 9 36626 A Illa de Arousa - Pontevedra",Empresas de actividades deportivas,,,
