nombre,link,direccion,tipo,categoria,telefono,email
ABRAMAR VIAJES,https://www.turismo.gal/recurso/-/detalle/4554/abramar-viajes-?langId=es_ES&tp=73&ctre=153,"Reconquista, nº 3 36201 Vigo - Pontevedra",Agencia de viajes,,986 44 70 60,abramar@abramar.com
ADEMAR VIAJES,https://www.turismo.gal/recurso/-/detalle/33594/ademar-viajes?langId=es_ES&tp=73&ctre=153,"DOUTOR CARRACIDO, 31 36205 Vigo - Pontevedra",Agencia de viajes,,+34 986 135 913,ademarviajes@gruposercom.com
AGENCIA MAS VIAJES,https://www.turismo.gal/recurso/-/detalle/230310000215/agencia-mas-viajes?langId=es_ES&tp=73&ctre=153,"Calle Progreso, 81 - Edificio Plaza, nº 81 - Bloque II 36960 Sanxenxo - Pontevedra",Agencia de viajes,,,cmiriamgomez@hotmail.com
AGENCIA SANVITUR,https://www.turismo.gal/recurso/-/detalle/220103000002/agencia-sanvitur?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,INFO@CAMPINGPLAYAPAISAXE.COM
ALOJATE SALNES,https://www.turismo.gal/recurso/-/detalle/220505000107/alojate-salnes?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@alojatesalnes.es
ALWAYS SPAIN INCOMING,https://www.turismo.gal/recurso/-/detalle/231204000018/always-spain-incoming?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,beni@alwaysspainincoming.com
AMA VIAJES,https://www.turismo.gal/recurso/-/detalle/4563/ama-viajes?langId=es_ES&tp=73&ctre=153,"URUGUAY, nº 8 36201 Vigo - Pontevedra",Agencia de viajes,,+34 986 447 575,ISABEL@AMAVIAJES.COM
ANANDA HOLIDAYS,https://www.turismo.gal/recurso/-/detalle/171221000086/ananda-holidays?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@anandaholidays.com
AS NEVES LINEATOURS,https://www.turismo.gal/recurso/-/detalle/220701000008/as-neves-lineatours?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,
AXIA TRAVEL,https://www.turismo.gal/recurso/-/detalle/190506000037/axia-travel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@axiatravel.es
AYUKO TOUR,https://www.turismo.gal/recurso/-/detalle/180302000013/ayuko-tour?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 686 654 060,info@ayukoaventura.com
AZOR TURISMO Y EVENTOS,https://www.turismo.gal/recurso/-/detalle/201203000024/azor-turismo-y-eventos?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 910 605 057,info@azoreventos.es
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/250225000392/b-travel?langId=es_ES&tp=73&ctre=153,"Calle Luis Vidal Rocha, nº 3 36960 Sanxenxo - Pontevedra",Agencia de viajes,,,sanxenxo@btravel.com
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/274955422/b-travel?langId=es_ES&tp=73&ctre=153,"GRAN VIA, nº 31 36211 Pontevedra - Pontevedra",Agencia de viajes,,,vgo-granvia@bthetravelbrand.com
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280378712/b-travel?langId=es_ES&tp=73&ctre=153,"MANUEL ALVAREZ - andar B letra IZQ, nº 12 36780 A Guarda - Pontevedra",Agencia de viajes,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280378872/b-travel?langId=es_ES&tp=73&ctre=153,"ALVARO CUNQUEIRO, nº 17 36211 Pontevedra - Pontevedra",Agencia de viajes,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280379514/b-travel?langId=es_ES&tp=73&ctre=153,"Uruguay, nº 31 36201 Vigo - Pontevedra",Agencia de viajes,,+34 986 266 536,vgo-alcaldegregorioespino@bthetravelbrand.com
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280379515/b-travel?langId=es_ES&tp=73&ctre=153,Compostela esquina Ourense 36700 Tui - Pontevedra,Agencia de viajes,,+34 986 603 518,tui1742@bthetravelbrand.com
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280379536/b-travel?langId=es_ES&tp=73&ctre=153,"MENDEZ NUÑEZ, nº 27 36940 Cangas - Pontevedra",Agencia de viajes,,,cangasdomorrazo@bthetravelbrand.com
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280379572/b-travel?langId=es_ES&tp=73&ctre=153,"RAMIRANES, nº 2 36400 O Porriño - Pontevedra",Agencia de viajes,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/28835/b-travel?langId=es_ES&tp=73&ctre=153,"ALCALDE DANIEL OJEA, nº 3 36860 Ponteareas - Pontevedra",Agencia de viajes,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/4282/b-travel?langId=es_ES&tp=73&ctre=153,"ARAPILES, nº 4 36600 Vilagarcía de Arousa - Pontevedra",Agencia de viajes,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/xg-po-000032/b-travel?langId=es_ES&tp=73&ctre=153,"MARQUES DE VALLADARES, nº 4 36201 Vigo - Pontevedra",Agencia de viajes,,+34 986 469 202,vigo-marques@bthetravelbrand.com
BACK TRAVEL,https://www.turismo.gal/recurso/-/detalle/250117000170/back-travel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,booking@backtravel.biz
BALUMA TRAVEL,https://www.turismo.gal/recurso/-/detalle/22129/baluma-travel?langId=es_ES&tp=73&ctre=153,"RÚA EDUARDO PONDAL, 3 - BAIXO 36630 Cambados - Pontevedra",Agencia de viajes,,+34 986 531 907,viajes@balumatravel.com
BESPOKE SENSES,https://www.turismo.gal/recurso/-/detalle/280382072/bespoke-senses?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,administracion@bespokesenses.com
BIKOTRAVEL,https://www.turismo.gal/recurso/-/detalle/230315000321/bikotravel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,PANTXI@PROTONMAIL.COM
BIVES TOUR AGENCIA DE VIAJES,https://www.turismo.gal/recurso/-/detalle/xg-po-000246/bives-tour-agencia-de-viajes?langId=es_ES&tp=73&ctre=153,"Praza de Compostela, nº 4 36203 Vigo - Pontevedra",Agencia de viajes,,+34 986 446 262,
BIVESTOUR,https://www.turismo.gal/recurso/-/detalle/xg-po-000004/bivestour-?langId=es_ES&tp=73&ctre=153,"Calle Padre Don Rúa - Esq Bolivia, nº 10 36203 Vigo - Pontevedra",Agencia de viajes,,+34 986 414 488,informacion@bivestour.com
BLUSCUS TURISMO MARINERO,https://www.turismo.gal/recurso/-/detalle/220121000130/bluscus-turismo-marinero?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,MARINO@BLUSCUS.ES
BOAVILA VIAXES,https://www.turismo.gal/recurso/-/detalle/181116000136/boavila-viaxes?langId=es_ES&tp=73&ctre=153,"Oliva, nº 33 36001 Pontevedra - Pontevedra",Agencia de viajes,,+34 689 706 483,boavilaviaxes@gmail.com
BOAVILA VIAXES,https://www.turismo.gal/recurso/-/detalle/220112000049/boavila-viaxes?langId=es_ES&tp=73&ctre=153,"Calle García Barbón, nº 63 36203 Vigo - Pontevedra",Agencia de viajes,,+34 886 905 069,mc.segade@boavilaviaxes.es
BODEGA TRAVEL,https://www.turismo.gal/recurso/-/detalle/230213000178/bodega-travel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@bodegatravel.com
BONOS BIENESTAR,https://www.turismo.gal/recurso/-/detalle/210531000752/bonos-bienestar?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@vouxers.com
BOOTS&GRAPES TOURS,https://www.turismo.gal/recurso/-/detalle/280382453/boots-grapes-tours?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,tours@bootsandgrapestours.com
BREATHINGALICIA.,https://www.turismo.gal/recurso/-/detalle/190207000056/breathingalicia.?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,hello@breathingalicia.com
BRUXAS TRAVEL,https://www.turismo.gal/recurso/-/detalle/xg-po-000431/bruxas-travel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 615 420 100,
BUYDEAL,https://www.turismo.gal/recurso/-/detalle/161020000050/buydeal?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 678 634 273,INFO@BUYDEAL.ES
CAMINO COMPANIONS,https://www.turismo.gal/recurso/-/detalle/250314000247/camino-companions?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,
CAMINO EN KAYAK,https://www.turismo.gal/recurso/-/detalle/210607000187/camino-en-kayak?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,
CAMINO SANTIAGO A CABALLO CAMINOS GALICIA,https://www.turismo.gal/recurso/-/detalle/220720000425/camino-santiago-a-caballo-caminos-galicia?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,caminosgalicia@hotmail.com
CASTILLO DE SOUTOMAIOR,https://www.turismo.gal/recurso/-/detalle/15956/castillo-de-soutomaior?langId=es_ES&tp=26&ctre=186,"Castillo de Soutomaior, s/n 36691 Soutomaior - Pontevedra",Instalaciones especiales,,+34 986 705 105,info@hotelpousadadelcastillo.com
CELTIC VIAJES,https://www.turismo.gal/recurso/-/detalle/xg-po-000448/celtic-viajes-?langId=es_ES&tp=73&ctre=153,"Porto do Rio, nº 19 36650 Caldas de Reis - Pontevedra",Agencia de viajes,,+34 986 540 274,
CELTRAVEL,https://www.turismo.gal/recurso/-/detalle/5637/celtravel?langId=es_ES&tp=73&ctre=153,"Avenida AVENIDA DE MADRID, 6 , nº 6 36630 Cambados - Pontevedra",Agencia de viajes,,+34 986 524 445,reservas@celtravel.es
CLAE VIAJES,https://www.turismo.gal/recurso/-/detalle/280377270/clae-viajes?langId=es_ES&tp=73&ctre=153,"Calle Doctor Tourón (Viveiro de empresas 11), nº 46 36600 Vilagarcía de Arousa - Pontevedra",Agencia de viajes,,+34 986 510 362,claeviajes@clickviaja.com
CN TRAVEL,https://www.turismo.gal/recurso/-/detalle/11316/cn-travel?langId=es_ES&tp=73&ctre=153,"Calle Vinquiño, nº 26 36960 Sanxenxo - Pontevedra",Agencia de viajes,,+34 986 690 490,COMUNICACION@CNTRAVEL.ES
CONVENTO DE VILAVELLA,https://www.turismo.gal/recurso/-/detalle/32849/convento-de-vilavella?langId=es_ES&tp=26&ctre=186,"Plaza de Ponteareas, 15 36700 Redondela - Pontevedra",Instalaciones especiales,,+34 986 408 165,info@hotelpousadadelcastillo.com
CORVERA VIAJES,https://www.turismo.gal/recurso/-/detalle/278518244/corvera-viajes?langId=es_ES&tp=73&ctre=153,"MÉNDEZ NÚÑEZ, 37 36910 Marín - Pontevedra",Agencia de viajes,,+34 986 891 594,viajescorvera@gmail.com
COSTA ATLÁNTICA VIAJES,https://www.turismo.gal/recurso/-/detalle/33435/costa-atlantica-viajes?langId=es_ES&tp=73&ctre=153,"Calle Brasilino Álvarez , nº 13 36780 A Guarda - Pontevedra",Agencia de viajes,,+34 986 612 554,grupos@costaatlanticaviajes.com
DDG DISFRUTANDO DE GALICIA,https://www.turismo.gal/recurso/-/detalle/190917000098/ddg-disfrutando-de-galicia?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,986 16 92 43,info@disfrutandodegalicia.com
DISCOVER GALICIA,https://www.turismo.gal/recurso/-/detalle/280383252/discover-galicia?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 645 929 766,discovergalicia@gmail.com
DMC SOLOGRUPOS,https://www.turismo.gal/recurso/-/detalle/230803000063/dmc-sologrupos?langId=es_ES&tp=73&ctre=153,"Alameda, nº 16 36001 Pontevedra - Pontevedra",Agencia de viajes,,,marta@gtcconsultores.es
E&W DESTINATION EXPERTS SL,https://www.turismo.gal/recurso/-/detalle/220505000104/e-w-destination-experts-sl?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@eatandwalkabout.com
EATOUR SPECIALIST,https://www.turismo.gal/recurso/-/detalle/280378873/eatour-specialist?langId=es_ES&tp=73&ctre=153,"Calle Marqués de Valladares, 14 - 4ª 3 36201 Vigo - Pontevedra",Agencia de viajes,,+34 986 221 399,tours@eatourspecialist.com
ED EUROPA DESTINOS,https://www.turismo.gal/recurso/-/detalle/190416000283/ed-europa-destinos?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,admin@europadestinos.com
EL MUNDO YOURWAY,https://www.turismo.gal/recurso/-/detalle/277294830/el-mundo-yourway?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@elmundoyourway.com
EL SALÓN DE TUS VIAJES,https://www.turismo.gal/recurso/-/detalle/280380838/el-salon-de-tus-viajes?langId=es_ES&tp=73&ctre=153,"Calle Edelmiro Trillo, 10 , nº 10 36600 Vilagarcía de Arousa - Pontevedra",Agencia de viajes,,+34 986 185 995,info@elsalondetusviajes.com
"ELSON TOURS, SL",https://www.turismo.gal/recurso/-/detalle/xg-po-000205/elson-tours-sl?langId=es_ES&tp=73&ctre=153,"PIZARRO, 73-BAIXO-LOCAL 10 36204 Vigo - Pontevedra",Agencia de viajes,,,
EMBARCATE CON VIGO,https://www.turismo.gal/recurso/-/detalle/210810000339/embarcate-con-vigo?langId=es_ES&tp=73&ctre=153,"Xeneral Rubín, nº 4 36800 Redondela - Pontevedra",Agencia de viajes,,,viajes@embarcateconvigo.com
EMOTIONS TRAVEL & ESCAPES,https://www.turismo.gal/recurso/-/detalle/171109000054/emotions-travel-escapes?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 650 209 296,luzxom@gmail.com
ENSTEC ENCUENTROS SOCIALES Y TÉCNICOS,https://www.turismo.gal/recurso/-/detalle/151116000026/enstec-encuentros-sociales-y-tecnicos?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 665 177 285,administracion@enstec.es
EROSKI BIDAIAK SA,https://www.turismo.gal/recurso/-/detalle/210211000042/eroski-bidaiak-sa?langId=es_ES&tp=73&ctre=153,"Rosalía de Castro, nº 1 36001 Pontevedra - Pontevedra",Agencia de viajes,,+34 986 075 680,v2697@viajeseroski.es
EROSKI BIDAIAK SA,https://www.turismo.gal/recurso/-/detalle/xg-po-000120/eroski-bidaiak-sa?langId=es_ES&tp=73&ctre=153,"Travesia de Vigo , nº 48 36206 Vigo - Pontevedra",Agencia de viajes,,+34 986 281 786,
"EROSKI BIDAIAK, SA",https://www.turismo.gal/recurso/-/detalle/15874/eroski-bidaiak-sa?langId=es_ES&tp=73&ctre=153,"Avda. Galicia, nº 6 36780 A Guarda - Pontevedra",Agencia de viajes,,+34 986 611 560,s2432@eroski.es
"EROSKI BIDAIAK, SA",https://www.turismo.gal/recurso/-/detalle/16132/eroski-bidaiak-sa?langId=es_ES&tp=73&ctre=153,"Mendez Nuñez, nº 1 36940 Cangas - Pontevedra",Agencia de viajes,,+34 986 303 870,s2432@eroski.es
EXCURSIONES FRAN,https://www.turismo.gal/recurso/-/detalle/240205000040/excursiones-fran?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,
EXCURSIONES Y VIAJES VIGO,https://www.turismo.gal/recurso/-/detalle/240718000361/excursiones-y-viajes-vigo?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,turisticasdevigo@hotmail.com
FANCY TRAVEL 16,https://www.turismo.gal/recurso/-/detalle/220923000441/fancy-travel-16?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@fancytravel16.com
