nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,situacion_caminos_de_santiago
"CENTRO DE INTERPRETACIÓN DO VIÑO E DA LAMPREA ""MUSEO ARABO""",https://www.turismo.gal/recurso/-/detalle/19391/centro-de-interpretacion-do-vino-e-da-lamprea-museo-arabo-?langId=es_ES&tp=75&ctre=1000201,"Calle Buenos Aires, nº 1 36430 Arbo - Pontevedra",Punto de información,,+34 986 665 778 / +34 986 665 000,oficinas.concellodearbo@gmail.com,"42º 06' 57.3"" N - 8º 18' 16.7"" W",https://festadalamprea.gal/centro-de-interpretacion-do-vino-e-a-lamprea-arabo/,
OFICINA DE INFORMACIÓN MUÍÑOS DO FOLÓN E DO PICÓN,https://www.turismo.gal/recurso/-/detalle/33380/oficina-de-informacion-muinos-do-folon-e-do-picon?langId=es_ES&tp=75&ctre=1000201,36770 O Rosal - Pontevedra,Punto de información,,+34 986 625 000,turismo@concellodorosal.es,"41º 57' 23.1"" N - 8º 50' 15.2"" W",http://www.concellodorosal.es/,Camino Portugués de la costa
OFICINA DE TURISMO (CASA MUSEO VALLE INCLÁN),https://www.turismo.gal/recurso/-/detalle/19442/oficina-de-turismo-casa-museo-valle-inclan-?langId=es_ES&tp=75&ctre=160,"Luces de Bohemia, nº s/n 36620 Vilanova de Arousa - Pontevedra",Municipales,,+34 986 555 493,museos@vilanovadearousa.com,"42º 33' 46.0"" N - 8º 49' 39.1"" W",http://www.vilanovadearousa.com/,Ruta del Mar de Arousa y Ulla
OFICINA DE TURISMO DA MANCOMUNIDADE DO VAL MIÑOR,https://www.turismo.gal/recurso/-/detalle/271229910/oficina-de-turismo-da-mancomunidade-do-val-minor?langId=es_ES&tp=75&ctre=1000201,"Paseo Torrente Ballester, s/n 36379 Nigrán - Pontevedra",Punto de información,,+34 986 354 879,,"42º 08' 20.0"" N - 8º 48' 59.9"" W",,Camino Portugués
OFICINA DE TURISMO DE AS NEVES,https://www.turismo.gal/recurso/-/detalle/191129000249/oficina-de-turismo-de-as-neves?langId=es_ES&tp=75&ctre=160,"Calle Marquesa do Pazo, nº 22 36440 As Neves - Pontevedra",Municipales,,,turismo@asneves.gal,"42º 05' 18.6"" N - 8º 24' 58.2"" W",https://asneves.gal/turismo/,
OFICINA DE TURISMO DE BUEU,https://www.turismo.gal/recurso/-/detalle/19393/oficina-de-turismo-de-bueu?langId=es_ES&tp=75&ctre=160,"Calle Eduardo Vicenti, nº 8 36930 Bueu - Pontevedra",Municipales,,986390029 (ext. 5),turismo@concellodebueu.gal,"42º 19' 36.1"" N - 8º 47' 04.6"" W",https://concellodebueu.gal/,
OFICINA DE TURISMO DE COMBARRO,https://www.turismo.gal/recurso/-/detalle/258600142/oficina-de-turismo-de-combarro?langId=es_ES&tp=75&ctre=1000201,"Calle Carreira do Campo, nº 17 36993 Poio - Pontevedra",Punto de información,,986770001 EXT. 1320,turismo@concellopoio.org,"42º 25' 54.1"" N - 8º 42' 19.6"" W",http://www.turismopoio.com/,
OFICINA DE TURISMO DE GALICIA EN PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/1880/oficina-de-turismo-de-galicia-en-pontevedra?langId=es_ES&tp=75&ctre=1000200,"Calle Marqués de Riestra, nº 30 36001 Pontevedra - Pontevedra",Xunta,,+34 886 151 555,oficina.turismo.pontevedra@xunta.gal,"42º 25' 51.7"" N - 8º 38' 47.9"" W",,Camino Portugués | Camino Portugués de la costa
OFICINA DE TURISMO DE GALICIA EN VIGO,https://www.turismo.gal/recurso/-/detalle/1870/oficina-de-turismo-de-galicia-en-vigo?langId=es_ES&tp=75&ctre=1000200,"Calle Cánovas del Castillo, nº 22 36202 Vigo - Pontevedra",Xunta,,+34 886 120 830 / +34 886 120 831 / +34 886 120 832,cii.oficinaturismo.vigo@xunta.gal,"42º 14' 24.5"" N - 8º 43' 34.2"" W",,Camino Portugués de la costa
OFICINA DE TURISMO DE NIGRÁN,https://www.turismo.gal/recurso/-/detalle/19405/oficina-de-turismo-de-nigran?langId=es_ES&tp=75&ctre=160,"Arquitecto Palacios, nº s/n 36340 Nigrán - Pontevedra",Municipales,,+34 986 368 734,oficinaturismo@nigran.org,"42º 08' 19.7"" N - 8º 49' 00.3"" W",http://www.nigran.org/,Camino Portugués de la costa
OFICINA DE TURISMO DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/271264966/oficina-de-turismo-de-pontevedra?langId=es_ES&tp=75&ctre=160,"Plaza de España, esquina Avenida Montero Ríos, nº s/n 36001 Pontevedra - Pontevedra",Municipales,,+34 986 090 890,info@visit-pontevedra.com,"42º 25' 53.4"" N - 8º 38' 49.9"" W",https://www.visit-pontevedra.com/,Camino Portugués | Camino Portugués de la costa
OFICINA DE TURISMO DE PORTONOVO,https://www.turismo.gal/recurso/-/detalle/19418/oficina-de-turismo-de-portonovo?langId=es_ES&tp=75&ctre=160,"Lugar Baltar, nº s/n 36970 Sanxenxo - Pontevedra",Municipales,,+34 986 692 098,oficinaportonovo@turismodesanxenxo.com,"42º 23' 58.0"" N - 8º 49' 21.9"" W",http://www.turismodesanxenxo.com/,Ruta del Mar de Arousa y Ulla
OFICINA DE TURISMO DE REDONDELA,https://www.turismo.gal/recurso/-/detalle/19416/oficina-de-turismo-de-redondela?langId=es_ES&tp=75&ctre=160,"Calle Isidoro Queimaliños, nº 2 36800 Redondela - Pontevedra",Municipales,,+34 986 401 713,turismo@redondela.gal,"42º 17' 01.1"" N - 8º 36' 28.3"" W",https://redondela.gal/es/pagina-oficial-de-turismo-del-ayuntamiento-de-redondela/,Camino Portugués | Camino Portugués de la costa
OFICINA DE TURISMO DE SANXENXO,https://www.turismo.gal/recurso/-/detalle/19417/oficina-de-turismo-de-sanxenxo?langId=es_ES&tp=75&ctre=160,Puerto Deportivo JC I 36960 Sanxenxo - Pontevedra,Municipales,,+34 986 720 285,info@turismodesanxenxo.com,"42º 23' 53.3"" N - 8º 48' 19.2"" W",http://www.turismodesanxenxo.com/,Ruta del Mar de Arousa y Ulla
OFICINA DE TURISMO DE SOUTOMAIOR,https://www.turismo.gal/recurso/-/detalle/19424/oficina-de-turismo-de-soutomaior?langId=es_ES&tp=75&ctre=160,"Campo da Feira, nº s/n 36690 Soutomaior - Pontevedra",Municipales,,,oficinaturismo@soutomaior.gal,"42º 19' 58.3"" N - 8º 36' 25.2"" W",,Camino Portugués | Camino Portugués de la costa
OFICINA DE TURISMO DE TUI,https://www.turismo.gal/recurso/-/detalle/1881/oficina-de-turismo-de-tui?langId=es_ES&tp=75&ctre=160,"Paseo de Calvo Sotelo, nº 16 36700 Tui - Pontevedra",Municipales,,,turismo@tui.gal,"42º 02' 49.4"" N - 8º 38' 41.3"" W",https://tui.gal/gl/instalaciones/oficina-municipal-de-turismo,Camino Portugués
