nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,clasificación,situacion_caminos_de_santiago,tipos_de_servicios,salones,servicios_enoturismo,situacion_visitas
ABRAMAR VIAJES,https://www.turismo.gal/recurso/-/detalle/4554/abramar-viajes-?langId=es_ES&tp=73&ctre=153,"Reconquista, nº 3 36201 Vigo - Pontevedra",Agencia de viajes,,986 44 70 60,abramar@abramar.com,"42º 14' 19.4"" N - 8º 43' 23.0"" W",http://www.abramar.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Camino Portugués de la costa,,,,
ADEMAR VIAJES,https://www.turismo.gal/recurso/-/detalle/33594/ademar-viajes?langId=es_ES&tp=73&ctre=153,"DOUTOR CARRACIDO, 31 36205 Vigo - Pontevedra",Agencia de viajes,,+34 986 135 913,ademarviajes@gruposercom.com,"42º 13' 46.5"" N - 8º 42' 17.8"" W",,Grupo: Minorista | Tipo agencia: Casa matriz,Camino Portugués de la costa,,,,
AGENCIA MAS VIAJES,https://www.turismo.gal/recurso/-/detalle/230310000215/agencia-mas-viajes?langId=es_ES&tp=73&ctre=153,"Calle Progreso, 81 - Edificio Plaza, nº 81 - Bloque II 36960 Sanxenxo - Pontevedra",Agencia de viajes,,,cmiriamgomez@hotmail.com,,,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencias de viajes con establecimiento físico,Ruta del Mar de Arousa y Ulla,,,,
AGENCIA SANVITUR,https://www.turismo.gal/recurso/-/detalle/220103000002/agencia-sanvitur?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,INFO@CAMPINGPLAYAPAISAXE.COM,,http://%20www.bungalowsgalicia.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Ruta del Mar de Arousa y Ulla,,,,
ALOJATE SALNES,https://www.turismo.gal/recurso/-/detalle/220505000107/alojate-salnes?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@alojatesalnes.es,,http://www.alojatesalnes.es/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Ruta del Mar de Arousa y Ulla,,,,
ALWAYS SPAIN INCOMING,https://www.turismo.gal/recurso/-/detalle/231204000018/always-spain-incoming?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,beni@alwaysspainincoming.com,,http://www.alwaysspainincoming.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués | Ruta del Mar de Arousa y Ulla,,,,
AMA VIAJES,https://www.turismo.gal/recurso/-/detalle/4563/ama-viajes?langId=es_ES&tp=73&ctre=153,"URUGUAY, nº 8 36201 Vigo - Pontevedra",Agencia de viajes,,+34 986 447 575,ISABEL@AMAVIAJES.COM,"42º 14' 25.2"" N - 8º 43' 24.4"" W",,Grupo: Minorista | Tipo agencia: Casa matriz,Camino Portugués de la costa,,,,
ANANDA HOLIDAYS,https://www.turismo.gal/recurso/-/detalle/171221000086/ananda-holidays?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@anandaholidays.com,,https://anandaholidays.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
AS NEVES LINEATOURS,https://www.turismo.gal/recurso/-/detalle/220701000008/as-neves-lineatours?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,,,http://www.asneves.lineatours.com/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,,,,,
AXIA TRAVEL,https://www.turismo.gal/recurso/-/detalle/190506000037/axia-travel?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,,info@axiatravel.es,,,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
AYUKO TOUR,https://www.turismo.gal/recurso/-/detalle/180302000013/ayuko-tour?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 686 654 060,info@ayukoaventura.com,,https://ayukotour.com/,Grupo: Mayorista-Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués de la costa,,,,
AZOR TURISMO Y EVENTOS,https://www.turismo.gal/recurso/-/detalle/201203000024/azor-turismo-y-eventos?langId=es_ES&tp=73&ctre=153,,Agencia de viajes,,+34 910 605 057,info@azoreventos.es,,http://azoreventos.es/,Grupo: Minorista | Tipo agencia: Casa matriz | Modalidad: Agencia de viajes on line,Camino Portugués,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/250225000392/b-travel?langId=es_ES&tp=73&ctre=153,"Calle Luis Vidal Rocha, nº 3 36960 Sanxenxo - Pontevedra",Agencia de viajes,,,sanxenxo@btravel.com,,,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia | Modalidad: Agencias de viajes con establecimiento físico,,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/274955422/b-travel?langId=es_ES&tp=73&ctre=153,"GRAN VIA, nº 31 36211 Pontevedra - Pontevedra",Agencia de viajes,,,vgo-granvia@bthetravelbrand.com,"42º 13' 54.0"" N - 8º 43' 03.9"" W",https://oficinas.bthetravelbrand.com/298,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués | Camino Portugués de la costa,,,,
B TRAVEL,https://www.turismo.gal/recurso/-/detalle/280378712/b-travel?langId=es_ES&tp=73&ctre=153,"MANUEL ALVAREZ - andar B letra IZQ, nº 12 36780 A Guarda - Pontevedra",Agencia de viajes,,,,,https://oficinas.bthetravelbrand.com/1745,Grupo: Mayorista-Minorista | Tipo agencia: Sucursal de una casa matriz no de Galicia,Camino Portugués de la costa,,,,
