nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,características,situacion_caminos_de_santiago,clasificación,servicios_de_autocaravanas,situacion_acceso
ACQUAVISION GALICIA S.L.,https://www.turismo.gal/recurso/-/detalle/278574564/acquavision-galicia-s.l.?langId=es_ES&tp=52&ctre=295,"Calle Hospital, nº 12 36980 O Grove - Pontevedra",Transporte en barco,,+34 986 731 246,,"42º 29' 47.2"" N - 8º 51' 39.3"" W",,Turístico,Ruta del Mar de Arousa y Ulla,,,
ÁREA DE ARCADE,https://www.turismo.gal/recurso/-/detalle/280382487/area-de-arcade?langId=es_ES&tp=42&ctre=1000260,"Calle do Peirao, nº s/n 36691 Soutomaior - Pontevedra",Áreas de Autocaravanas,,+34 986 705 114,,"42º 20' 22.0"" N - 8º 36' 47.7"" W",,,Camino Portugués | Camino Portugués de la costa,Áreas públicas,Agua potable | Área gratuita | Duchas | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras | Zona de juegos para niños | Zona de picnic,Según se llega al pueblo por la N-550 seguir dirección de bajada al puerto de Arcade. El área está en el parking que hay junto a la estación depuradora.
AREA AUTOCAMPER SANXENXO,https://www.turismo.gal/recurso/-/detalle/200805000227/area-autocamper-sanxenxo?langId=es_ES&tp=42&ctre=1000260,"Camino de Canelas,, nº s/n 36970 Sanxenxo - Pontevedra",Áreas de Autocaravanas,,,,"42º 23' 29.4"" N - 8º 50' 06.3"" W",https://autocampersanxenxo.com/,,Ruta del Mar de Arousa y Ulla,Áreas privadas,Agua potable | Conexión eléctrica | Duchas | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras | WC público | Wifi | Zona de picnic,
ÁREA DE A CARIXA,https://www.turismo.gal/recurso/-/detalle/280382501/area-de-a-carixa?langId=es_ES&tp=42&ctre=1000260,"Estrada Merza-Bodaño, nº s/n 36590 Vila de Cruces - Pontevedra",Áreas de Autocaravanas,,,,"42º 45' 43.7"" N - 8º 15' 21.9"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras | WC público | Wifi | Zona de juegos para niños | Zona de picnic,"Desde la autopista AP-53 tomar la salida 33 y desde allí por la PO-205 a Vila de Cruces. Desde Vila de Cruces hay unos 4 km. | Si se llega por la PO-204 hasta Merza. Luego seguir 1 km. por la EP-6410, dir. Boaño."
ÁREA DE A PRAGUEIRA,https://www.turismo.gal/recurso/-/detalle/280382498/area-de-a-pragueira?langId=es_ES&tp=42&ctre=1000260,"Praia Pragueira, nº 172 Sanxenxo - Pontevedra",Áreas de Autocaravanas,,,playapragueira@telefonica.net,"42º 24' 34.4"" N - 8º 51' 41.5"" W",,,Ruta del Mar de Arousa y Ulla,Áreas privadas,Agua potable | Conexión eléctrica | Duchas | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras | Vigilancia | Zona de juegos para niños | Zona de picnic,"Desde la Autopista AP-9, tomar la salida Sanxenxo-O Grove. Seguir por la Ctra PO-308 (Sanxenxo-O Grove) por la costa, A unos 4 km hasta llegar al área."
ÁREA DE AGOLADA,https://www.turismo.gal/recurso/-/detalle/280382485/area-de-agolada?langId=es_ES&tp=42&ctre=1000260,Recinto do mercado de gando 36527 Agolada - Pontevedra,Áreas de Autocaravanas,,+34 986 788 062,,"42º 45' 32.0"" N - 8º 01' 10.2"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,"Se llega por la N-642 (Vegadeo-Meira) o desde el norte por la PO-840. Una vez en el núcleo urbano de Agolada, se accede al área por la calle que lleva al mercado de ganados."
ÁREA DE ARBO,https://www.turismo.gal/recurso/-/detalle/280382486/area-de-arbo?langId=es_ES&tp=42&ctre=1000260,Estrada PO 400 36430 Arbo - Pontevedra,Áreas de Autocaravanas,,+34 986 665 000,,"42º 06' 57.4"" N - 8º 18' 17.2"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,"Desde la A9, tomar la salida 251 y después la PO-400. A unos 20 km. está Arbo. Si circulamos dirección Ourense, nada más pasar el pueblo, al salir de una rotonda ya se ve la señal del área. | Desde Ourense, antes de entrar en Arbo, en la misma rotonda también se ve la señal. El área está justo al pasar la rotonda dirección Orense"
ÁREA DE AS NEVES,https://www.turismo.gal/recurso/-/detalle/280382488/area-de-as-neves?langId=es_ES&tp=42&ctre=1000260,"Plaza Praza San Agustín, nº s/n 36440 As Neves - Pontevedra",Áreas de Autocaravanas,,,,"42º 05' 14.5"" N - 8º 24' 49.6"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,Desde la A-52 tomar la salída 291 en dirección As Neves/Arbo. Seguir por la PO-4006.  Girar a la derecha y continua 8 km hasta As Neves.
"ÁREA DE CAMPING CAR ÁREA, PLAYA ARNELES",https://www.turismo.gal/recurso/-/detalle/151028000075/area-de-camping-car-area-playa-arneles?langId=es_ES&tp=42&ctre=1000260,Carretera Viso-Vilanova 36948 Cangas - Pontevedra,Áreas de Autocaravanas,,,,"42º 16' 34.6"" N - 8º 50' 02.1"" W",,,,Áreas privadas,Agua potable | Duchas | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras | WC público,"Por el corredor del Morrazo, en la rotonda, tomamos la 2ª salida por la VG-4.6, PO-315 dirección Cangas, Moaña y continuamos 2 km; no tomamos un primer cruce que indica O Hio, seguimos recto, sobre unos 500 m y tomaremos el siguiente cruce a la derecha que además de indicar O Hio, indica Crucero de Hio y CAMPING-CAR AREA, continuamos por esta carretera, 1,9 km. hasta encontrar la entrada al área a mano derecha."
ÁREA DE CANGAS,https://www.turismo.gal/recurso/-/detalle/280383311/area-de-cangas?langId=es_ES&tp=42&ctre=1000260,"O Gatañal, nº s/n 36940 Cangas - Pontevedra",Áreas de Autocaravanas,,,,"42º 15' 19.3"" N - 8º 47' 51.3"" W",,,,Áreas públicas,Agua potable | Área gratuita | Vaciado de aguas grises | Vaciado de aguas negras,"Si venimos por la AP-9,  Tomamos  salida 146 dirección Cangas -Moaña   después  tomamos el  corredor del Morrazo CG 41 que nos lleva a Cangas. Una vez en Cangas continuamos por la PO-315 situándose en área a 2 km del  Concello de Concello en dirección Liméns."
ÁREA DE DENA,https://www.turismo.gal/recurso/-/detalle/280382489/area-de-dena?langId=es_ES&tp=42&ctre=1000260,nº s/n 36968 Meaño - Pontevedra,Áreas de Autocaravanas,,,,"42º 27' 03.8"" N - 8º 49' 20.4"" W",,,Ruta del Mar de Arousa y Ulla,Áreas públicas,Área gratuita | Vaciado de aguas grises | Vaciado de aguas negras,"Carretera PO-550, Rúa da Chanca, acceso a la Estación de Tratamiento Agua Potable y Área recreativa Os Pasales."
ÁREA DE FORCAREI,https://www.turismo.gal/recurso/-/detalle/280382490/area-de-forcarei?langId=es_ES&tp=42&ctre=1000260,"Lugar de A Madalena, nº s/n 36558 Forcarei - Pontevedra",Áreas de Autocaravanas,,,,"42º 32' 39.3"" N - 8º 17' 59.4"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,En Soutelo de Montes (N-541) seguir las indicaciones que llevan hasta el circuito de A Madalena; el área de servicios está situado en sus inmediaciones.
ÁREA DE MONDARIZ,https://www.turismo.gal/recurso/-/detalle/160525000085/area-de-mondariz?langId=es_ES&tp=42&ctre=1000260,"Área recreativa da Praia do Val (Mondariz), nº s/n 36870 Mondariz - Pontevedra",Áreas de Autocaravanas,,,,"42º 14' 14.3"" N - 8º 27' 33.3"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas negras | Zona de juegos para niños | Zona de picnic,"Al entrar en Mondariz, seguimos las indicaciones hacia el área de autocaravanas."
ÁREA DE POIO,https://www.turismo.gal/recurso/-/detalle/200116000159/area-de-poio?langId=es_ES&tp=42&ctre=1000260,Calle Camino de la Fábrica Poio - Pontevedra,Áreas de Autocaravanas,,+34 986 833 204.,,"42º 26' 16.6"" N - 8º 41' 39.8"" W",,,,,,"Se puede acceder a Poio desde la AP-9 tomando la salida Pontevedra Norte-Poio, cogiendo la carretera PO-308 dirección Sanxexo, el área se encuentra en la calle Camino de la Fábrica."
ÁREA DE PONTE CALDELAS,https://www.turismo.gal/recurso/-/detalle/280382492/area-de-ponte-caldelas?langId=es_ES&tp=42&ctre=1000260,"Praza Chan de Barcia, nº s/n 36820 Ponte Caldelas - Pontevedra",Áreas de Autocaravanas,,,,"42º 23' 19.6"" N - 8º 29' 57.9"" W",,,,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,"Ya en Ponte Caldelas  por la PO-255 (Av. De Pontevedra), al cruzar el puente del río Verdugo, giramos en la primera calle a la derecha (C/ José López Boullosa) y a 150m. está el área. | Viniendo del Este por la misma carretera justo antes de cruzar el puente, giramos a la izquierda."
ÁREA DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/280382493/area-de-pontevedra?langId=es_ES&tp=42&ctre=1000260,"Calle Jose Malvar Figueroa - Urbanizacion Tafisa, nº s/n 36002 Pontevedra - Pontevedra",Áreas de Autocaravanas,,,,"42º 26' 00.4"" N - 8º 38' 08.2"" W",,,Camino Portugués | Camino Portugués de la costa,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,"Desde la AP-9/E-1, tomar la salida 129, o entrando por el norte,  bordear el río por el Paseo Domingo Fontán hasta pasar el Pabellón de Deportes y el Palacio de la Cultura. Cruzar el río por el puente de tirantes y al otro lado a la izquierda está el área. | Entrando por el sur de la ciudad, tomar la Rúa Jose Malvar Figueroa y al final de la calle pasar el cruce con semáforo y en la siguiente rotonda coger la 1 salida."
ÁREA DE REDONDELA,https://www.turismo.gal/recurso/-/detalle/280382494/area-de-redondela?langId=es_ES&tp=42&ctre=1000260,"Paseo do Pexegueiro, nº s/n 36800 Redondela - Pontevedra",Áreas de Autocaravanas,,,,"42º 17' 24.1"" N - 8º 36' 38.2"" W",,,Camino Portugués | Camino Portugués de la costa,Áreas públicas,Agua potable | Área gratuita | Posibilidad de pernocta | Vaciado de aguas grises | Vaciado de aguas negras,"Desde la carretera Coruña-Tui (N-550) dirección Tui, tomar la carretera PO-363 dirección Avda. de Mendiño. A unos  250 m. de este cruce está el área."
