nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad
CASA CRUCEIRO,https://www.turismo.gal/recurso/-/detalle/2104/-casa-cruceiro?langId=es_ES&tp=71&ctre=134,nº 11 36435 Arbo - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 665 544,reservas@casacruceiroarbo.com,Donde alojarse,"42º 05' 51.9"" N - 8º 20' 05.6"" W",http://www.casacruceiroarbo.com/,Admisión de animales (consultar) | Aparcamiento | Comedor | Cunas | Instalaciones para niños | Internet - Wi-Fi | Jardín / Huerta | Prohibido fumar | Salón | Salón de reuniones | Tarjetas de crédito (consultar) | Televisión común | Televisor en habitaciones,Cena | Comida | Desayuno,Habitación: Habitaciones dobles | Número de cuartos: 5 | Número de plazas: 10,,,,
2 CASAS,https://www.turismo.gal/recurso/-/detalle/210625000582/2-casas?langId=es_ES&tp=68&ctre=130,"Calle Pereira, nº s/n 36636 Ribadumia - Pontevedra",Apartamento,Apartamentos 2 Llaves,+34 625 477 816,info@2casas.es,Donde alojarse,"42º 30' 33.3"" N - 8º 45' 48.3"" W",https://2casas.es/,,,,Plazas totales calculadas: 8,Ruta del Mar de Arousa y Ulla,,
9 OLAS,https://www.turismo.gal/recurso/-/detalle/240801000039/9-olas?langId=es_ES&tp=67&ctre=135,"Lugar A Lanzada, nº 137 36990 Sanxenxo - Pontevedra",Pensión,1 estrella,,OFICINA@REDGLA.ES,Donde alojarse,"42º 26' 12.0"" N - 8º 52' 08.7"" W",,,,,,Ruta del Mar de Arousa y Ulla,,
A AVOA MARIA,https://www.turismo.gal/recurso/-/detalle/35940/a-avoa-maria-?langId=es_ES&tp=71&ctre=134,"Lugar A Brea, nº 4 36110 Campo Lameiro - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),,avoa.maria@yahoo.es,Donde alojarse,"42º 34' 00.5"" N - 8º 31' 57.2"" W",https://avoamaria.com/,Aparcamiento | Barbacoa | Bicicletas (consultar) | Comedor | Cunas | Derecho a cocina | Jardín / Huerta | Lavadora disponible – Lavandería | Piscina | Salón | Se habla inglés,,Habitación: Habitaciones dobles | Número de cuartos: 5 | Número de plazas: 10,,,La casa se puede alquilar completa,Grado de Accesibilidad: Adaptado
A BOA ESTRELA,https://www.turismo.gal/recurso/-/detalle/210610000268/a-boa-estrela?langId=es_ES&tp=67&ctre=135,"Calle Isidoro Queimaliños, nº 42-44 36800 Redondela - Pontevedra",Pensión,1 estrella,,reservas@aboaestrela.com,Donde alojarse,"42º 16' 57.4"" N - 8º 36' 30.2"" W",http://www.aboaestrela.com/,,,,,Camino Portugués | Camino Portugués de la costa,,
A BOUZA,https://www.turismo.gal/recurso/-/detalle/15736/a-bouza?langId=es_ES&tp=71&ctre=134,"Calle Mariña , nº 35 36992 Poio - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 741 246,abouza1@gmail.com,Donde alojarse,"42º 24' 50.1"" N - 8º 45' 21.0"" W",http://www.abouza.com/,Aparcamiento | Camas supletorias | Comedor | Internet - Wi-Fi | Jardín / Huerta | Lavadora disponible – Lavandería | Prohibido fumar | Salón | Tarjetas de crédito (consultar) | Televisión común | Televisor en habitaciones,Desayuno,Habitación: Habitaciones dobles | Número de cuartos: 7 | Número de plazas: 14,,,,
A CAMBOA,https://www.turismo.gal/recurso/-/detalle/11389/a-camboa?langId=es_ES&tp=71&ctre=134,nº 22 36660 Moraña - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 538 010,carlos_justo_araujo@hotmail.es,Donde alojarse,"42º 32' 13.8"" N - 8º 35' 12.6"" W",,Aparcamiento | Barbacoa | Cunas | Derecho a cocina | Jardín / Huerta | Lavadora disponible – Lavandería | Prohibido fumar | Salón | Tarjetas de crédito (consultar) | Televisión común,,Habitación: Habitaciones individuales | Número de cuartos: 2 | Número de plazas: 2; Habitación: Habitaciones dobles | Número de cuartos: 3 | Número de plazas: 6,,,La casa se puede alquilar completa,
A CAMELIA,https://www.turismo.gal/recurso/-/detalle/28859/a-camelia?langId=es_ES&tp=67&ctre=135,"Calle Alcalde Fandiño, nº 8 36950 Moaña - Pontevedra",Pensión,3 estrellas,+34 986 193 129,hostal.acamelia01@gmail.com,Donde alojarse,,,,,,,,,
A CANTARUXA MARUXA,https://www.turismo.gal/recurso/-/detalle/280382591/a-cantaruxa-maruxa?langId=es_ES&tp=71&ctre=134,"O Cruceiro, nº 42 36879 Mondariz - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 654 647,benvidos@acantaruxamaruxa.es,Donde alojarse,,,,,,,,,
A CARRASQUEIRA,https://www.turismo.gal/recurso/-/detalle/37978/a-carrasqueira?langId=es_ES&tp=67&ctre=135,36828 Ponte Caldelas - Pontevedra,Pensión,1 estrella,,,Donde alojarse,,,,,,,,,
A CASA DA BOTICA,https://www.turismo.gal/recurso/-/detalle/32867/a-casa-da-botica?langId=es_ES&tp=71&ctre=134,36588 A Estrada - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@casadabotica.com,Donde alojarse,,,,,,,,,
A CASA DA HERBA,https://www.turismo.gal/recurso/-/detalle/h-po-001931/a-casa-da-herba?langId=es_ES&tp=1000100&ctre=1000120,"Calle Isidoro Queimaliños , nº 35 36800 Redondela - Pontevedra",Albergue Turístico,,,acasadaherba@gmail.com,Donde alojarse,,,,,,,,,
A CASA DA PEREIRA,https://www.turismo.gal/recurso/-/detalle/161007000009/a-casa-da-pereira?langId=es_ES&tp=1000180&ctre=1000220,"Calle Pereira, nº 14 36636 Ribadumia - Pontevedra",Vivienda Turística,,,info@acasadapereira.com,Donde alojarse,,,,,,,,,
A CASA DAS LETRAS,https://www.turismo.gal/recurso/-/detalle/241025000527/a-casa-das-letras?langId=es_ES&tp=68&ctre=130,"Calle Pablo Iglesias, nº 22 36940 Cangas - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 617 781 604,eva@acasadasletras.es,Donde alojarse,,,,,,,,,
A CASA DE ALDÁN,https://www.turismo.gal/recurso/-/detalle/11528/a-casa-de-aldan?langId=es_ES&tp=71&ctre=134,"Avenida José Graña , nº 52 36945 Cangas - Pontevedra",Turismo rural,Grupo-A (Otras Edif.),+34 986 328 732,info@acasadealdan.com,Donde alojarse,,,,,,,,,
A CASA DE ALICIA,https://www.turismo.gal/recurso/-/detalle/278622763/a-casa-de-alicia?langId=es_ES&tp=71&ctre=134,nº 11 36636 Ribadumia - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@acasadealicia.com,Donde alojarse,,,,,,,,,
A CASA DE AMPARO,https://www.turismo.gal/recurso/-/detalle/280231009/a-casa-de-amparo?langId=es_ES&tp=67&ctre=135,"Lugar Quintans, nº 1 36990 Sanxenxo - Pontevedra",Pensión,3 estrellas,+34 986 744 484,acasadeamparo@gmail.com,Donde alojarse,,,,,,,,,
A CASA DE LARACHE,https://www.turismo.gal/recurso/-/detalle/36053/a-casa-de-larache?langId=es_ES&tp=71&ctre=134,36142 Vilaboa - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 673 812,pazolarache@pazolarache.com,Donde alojarse,,,,,,,,,
