nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información,distancia,soles_repsol,estrellas_michelin,situacion_visitas,municipio
A XANELA,https://www.turismo.gal/recurso/-/detalle/220830000276/a-xanela?langId=es_ES&tp=67&ctre=135,"Plaza da Verdura, nº 5 36002 Pontevedra - Pontevedra",Pensión,1 estrella,,manuel.suarez.amoedo@gmail.com,Donde alojarse,"42º 25' 57.6"" N - 8º 38' 38.5"" W",mailto:manuel.suarez.amoedo@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
ALBERGUE ALOXA HOSTEL,https://www.turismo.gal/recurso/-/detalle/280382457/albergue-aloxa-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Gorgullón, nº 68 36003 Pontevedra - Pontevedra",Albergue Turístico,,,alberguealoxahostel@hotmail.com,Donde alojarse,"42º 25' 21.3"" N - 8º 38' 12.2"" W",mailto:alberguealoxahostel@hotmail.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
ALBERGUE DE PEREGRINOS DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/280380529/albergue-de-peregrinos-de-pontevedra?langId=es_ES&tp=1000100&ctre=1000300,"Calle Otero Pedrayo, nº s/n 36004 Pontevedra - Pontevedra",Albergues del Xacobeo,,,,Donde alojarse,"42º 25' 10.3"" N - 8º 38' 10.2"" W",,Agua caliente | Calefacción central | Cocina sin utensilios | Comedor | Duchas | Frigorífico | Internet / wifi en zonas comunes | Jardín terraza | Lavadora | Máquina de café | Máquina de refrescos | Microondas | Salón de estar | Tendedero,,,,Camino Portugués | Camino Portugués de la costa,,,13:00 - 22:00,,,,,,,,,,,,Pontevedra
ALDA PONTEVEDRA ESTACION,https://www.turismo.gal/recurso/-/detalle/10909/alda-pontevedra-estacion?langId=es_ES&tp=22&ctre=129,"Avenida Eduardo Pondal, nº 76-78 36003 Pontevedra - Pontevedra",Hotel,2 Estrellas,+34 886 300 029,estacionpontevedra@aldahotels.com,Donde alojarse,"42º 25' 22.9"" N - 8º 38' 11.9"" W",mailto:estacionpontevedra@aldahotels.com,Admite tarjetas de crédito | Ascensor | Bar-Cafetería | Calefacción central | Garaje de pago | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavandería | Sala de Reuniones | Salón de estar | Se habla alemán | Se habla inglés | Se habla italiano | Servicio de fax | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
ALICIA,https://www.turismo.gal/recurso/-/detalle/259322522/alicia?langId=es_ES&tp=67&ctre=135,"LG. STA. MARÍA, 5-1º 36002 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 857 079,,Donde alojarse,"42º 25' 56.6"" N - 8º 38' 50.6"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
APARTAMENTOS ÁNIMAS,https://www.turismo.gal/recurso/-/detalle/221110000104/apartamentos-animas?langId=es_ES&tp=68&ctre=130,"Calle Ánimas, nº 3 36001 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,,,Donde alojarse,"42º 25' 56.5"" N - 8º 38' 41.5"" W",,,,,Plazas totales calculadas: 4,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
APARTAMENTOS CASAS Á BEIRA,https://www.turismo.gal/recurso/-/detalle/190911000051/apartamentos-casas-a-beira?langId=es_ES&tp=68&ctre=130,"Calle Gorgullón, nº 48 36001 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 687 776 233,agv.iccp@gmail.com,Donde alojarse,"42º 25' 26.2"" N - 8º 38' 14.1"" W",mailto:agv.iccp@gmail.com,,,,Plazas totales calculadas: 24,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
APARTAMENTOS NUMEN,https://www.turismo.gal/recurso/-/detalle/240726000506/apartamentos-numen?langId=es_ES&tp=68&ctre=130,"Calle Da Seca, nº 13 36002 Pontevedra - Pontevedra",Apartamento,Apartamentos 1 Llave,,apartamentosmiramarsanxenxo@gmail.com,Donde alojarse,"42º 25' 54.6"" N - 8º 38' 03.2"" W",mailto:apartamentosmiramarsanxenxo@gmail.com,,,,Plazas totales calculadas: 12,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
ATLÁNTICO,https://www.turismo.gal/recurso/-/detalle/32506/atlantico?langId=es_ES&tp=67&ctre=135,"R/ PADRE FERNANDO OLMEDO, 38 36002 Pontevedra - Pontevedra",Pensión,1 estrella,+34 986 861 551,info@hostalatlantico.es,Donde alojarse,"42º 25' 50.8"" N - 8º 38' 11.9"" W",mailto:info@hostalatlantico.es,Admite tarjetas de crédito | Bar-Cafetería | Calefacción central | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Restaurante | TV en habitaciones,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
AVENIDA,https://www.turismo.gal/recurso/-/detalle/2272/avenida?langId=es_ES&tp=22&ctre=129,"Calle Eduardo Pondal, nº 46 36003 Pontevedra - Pontevedra",Hotel,1 Estrella,+34 986 857 784,Reservas@avenidahotel.net,Donde alojarse,"42º 25' 33.6"" N - 8º 38' 15.7"" W",mailto:Reservas@avenidahotel.net,Admite perros | Admite tarjetas de crédito | Aire Acond. en habitaciones | Aire acondicionado | Alquiler de bicicletas | Antena parabólica | Ascensor | Bar-Cafetería | Calefacción central | Garaje de pago | Hab. fumadores / no fumadores | Internet / wifi en zonas comunes | Internet en habitaciones / wifi | Lavandería | Parking de superficie | Restaurante | Sala de Reuniones | Salón de convenciones | Salón de estar | Secador pelo en habitaciones | Se habla francés | Se habla inglés | Servicio de fax | Servicio de secretaría | Teléfono en habitaciones | TV en habitaciones,Comida o cena | Desayuno,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
