nombre,link,direccion,tipo,categoria,telefono,email
CASA CRUCEIRO,https://www.turismo.gal/recurso/-/detalle/2104/-casa-cruceiro?langId=es_ES&tp=71&ctre=134,nº 11 36435 Arbo - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 665 544,reservas@casacruceiroarbo.com
2 CASAS,https://www.turismo.gal/recurso/-/detalle/210625000582/2-casas?langId=es_ES&tp=68&ctre=130,"Calle Pereira, nº s/n 36636 Ribadumia - Pontevedra",Apartamento,Apartamentos 2 Llaves,+34 625 477 816,info@2casas.es
9 OLAS,https://www.turismo.gal/recurso/-/detalle/240801000039/9-olas?langId=es_ES&tp=67&ctre=135,"Lugar A Lanzada, nº 137 36990 Sanxenxo - Pontevedra",Pensión,1 estrella,,OFICINA@REDGLA.ES
A AVOA MARIA,https://www.turismo.gal/recurso/-/detalle/35940/a-avoa-maria-?langId=es_ES&tp=71&ctre=134,"Lugar A Brea, nº 4 36110 Campo Lameiro - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),,avoa.maria@yahoo.es
A BOA ESTRELA,https://www.turismo.gal/recurso/-/detalle/210610000268/a-boa-estrela?langId=es_ES&tp=67&ctre=135,"Calle Isidoro Queimaliños, nº 42-44 36800 Redondela - Pontevedra",Pensión,1 estrella,,reservas@aboaestrela.com
A BOUZA,https://www.turismo.gal/recurso/-/detalle/15736/a-bouza?langId=es_ES&tp=71&ctre=134,"Calle Mariña , nº 35 36992 Poio - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 741 246,abouza1@gmail.com
A CAMBOA,https://www.turismo.gal/recurso/-/detalle/11389/a-camboa?langId=es_ES&tp=71&ctre=134,nº 22 36660 Moraña - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 538 010,carlos_justo_araujo@hotmail.es
A CAMELIA,https://www.turismo.gal/recurso/-/detalle/28859/a-camelia?langId=es_ES&tp=67&ctre=135,"Calle Alcalde Fandiño, nº 8 36950 Moaña - Pontevedra",Pensión,3 estrellas,+34 986 193 129,hostal.acamelia01@gmail.com
A CANTARUXA MARUXA,https://www.turismo.gal/recurso/-/detalle/280382591/a-cantaruxa-maruxa?langId=es_ES&tp=71&ctre=134,"O Cruceiro, nº 42 36879 Mondariz - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 654 647,benvidos@acantaruxamaruxa.es
A CARRASQUEIRA,https://www.turismo.gal/recurso/-/detalle/37978/a-carrasqueira?langId=es_ES&tp=67&ctre=135,36828 Ponte Caldelas - Pontevedra,Pensión,1 estrella,,
A CASA DA BOTICA,https://www.turismo.gal/recurso/-/detalle/32867/a-casa-da-botica?langId=es_ES&tp=71&ctre=134,36588 A Estrada - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@casadabotica.com
A CASA DA HERBA,https://www.turismo.gal/recurso/-/detalle/h-po-001931/a-casa-da-herba?langId=es_ES&tp=1000100&ctre=1000120,"Calle Isidoro Queimaliños , nº 35 36800 Redondela - Pontevedra",Albergue Turístico,,,acasadaherba@gmail.com
A CASA DA PEREIRA,https://www.turismo.gal/recurso/-/detalle/161007000009/a-casa-da-pereira?langId=es_ES&tp=1000180&ctre=1000220,"Calle Pereira, nº 14 36636 Ribadumia - Pontevedra",Vivienda Turística,,,info@acasadapereira.com
A CASA DAS LETRAS,https://www.turismo.gal/recurso/-/detalle/241025000527/a-casa-das-letras?langId=es_ES&tp=68&ctre=130,"Calle Pablo Iglesias, nº 22 36940 Cangas - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 617 781 604,eva@acasadasletras.es
A CASA DE ALDÁN,https://www.turismo.gal/recurso/-/detalle/11528/a-casa-de-aldan?langId=es_ES&tp=71&ctre=134,"Avenida José Graña , nº 52 36945 Cangas - Pontevedra",Turismo rural,Grupo-A (Otras Edif.),+34 986 328 732,info@acasadealdan.com
A CASA DE ALICIA,https://www.turismo.gal/recurso/-/detalle/278622763/a-casa-de-alicia?langId=es_ES&tp=71&ctre=134,nº 11 36636 Ribadumia - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,info@acasadealicia.com
A CASA DE AMPARO,https://www.turismo.gal/recurso/-/detalle/280231009/a-casa-de-amparo?langId=es_ES&tp=67&ctre=135,"Lugar Quintans, nº 1 36990 Sanxenxo - Pontevedra",Pensión,3 estrellas,+34 986 744 484,acasadeamparo@gmail.com
