nombre,link,direccion,tipo,categoria,telefono,email
"CENTRO DE INTERPRETACIÓN DO VIÑO E DA LAMPREA ""MUSEO ARABO""",https://www.turismo.gal/recurso/-/detalle/19391/centro-de-interpretacion-do-vino-e-da-lamprea-museo-arabo-?langId=es_ES&tp=75&ctre=1000201,"Calle Buenos Aires, nº 1 36430 Arbo - Pontevedra",Punto de información,,+34 986 665 778 / +34 986 665 000,oficinas.concellodearbo@gmail.com
OFICINA DE INFORMACIÓN MUÍÑOS DO FOLÓN E DO PICÓN,https://www.turismo.gal/recurso/-/detalle/33380/oficina-de-informacion-muinos-do-folon-e-do-picon?langId=es_ES&tp=75&ctre=1000201,36770 O Rosal - Pontevedra,Punto de información,,+34 986 625 000,turismo@concellodorosal.es
OFICINA DE TURISMO (CASA MUSEO VALLE INCLÁN),https://www.turismo.gal/recurso/-/detalle/19442/oficina-de-turismo-casa-museo-valle-inclan-?langId=es_ES&tp=75&ctre=160,"Luces de Bohemia, nº s/n 36620 Vilanova de Arousa - Pontevedra",Municipales,,+34 986 555 493,museos@vilanovadearousa.com
OFICINA DE TURISMO DA MANCOMUNIDADE DO VAL MIÑOR,https://www.turismo.gal/recurso/-/detalle/271229910/oficina-de-turismo-da-mancomunidade-do-val-minor?langId=es_ES&tp=75&ctre=1000201,"Paseo Torrente Ballester, s/n 36379 Nigrán - Pontevedra",Punto de información,,+34 986 354 879,
OFICINA DE TURISMO DE AS NEVES,https://www.turismo.gal/recurso/-/detalle/191129000249/oficina-de-turismo-de-as-neves?langId=es_ES&tp=75&ctre=160,"Calle Marquesa do Pazo, nº 22 36440 As Neves - Pontevedra",Municipales,,,turismo@asneves.gal
OFICINA DE TURISMO DE BUEU,https://www.turismo.gal/recurso/-/detalle/19393/oficina-de-turismo-de-bueu?langId=es_ES&tp=75&ctre=160,"Calle Eduardo Vicenti, nº 8 36930 Bueu - Pontevedra",Municipales,,986390029 (ext. 5),turismo@concellodebueu.gal
OFICINA DE TURISMO DE COMBARRO,https://www.turismo.gal/recurso/-/detalle/258600142/oficina-de-turismo-de-combarro?langId=es_ES&tp=75&ctre=1000201,"Calle Carreira do Campo, nº 17 36993 Poio - Pontevedra",Punto de información,,986770001 EXT. 1320,turismo@concellopoio.org
OFICINA DE TURISMO DE GALICIA EN PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/1880/oficina-de-turismo-de-galicia-en-pontevedra?langId=es_ES&tp=75&ctre=1000200,"Calle Marqués de Riestra, nº 30 36001 Pontevedra - Pontevedra",Xunta,,+34 886 151 555,oficina.turismo.pontevedra@xunta.gal
OFICINA DE TURISMO DE GALICIA EN VIGO,https://www.turismo.gal/recurso/-/detalle/1870/oficina-de-turismo-de-galicia-en-vigo?langId=es_ES&tp=75&ctre=1000200,"Calle Cánovas del Castillo, nº 22 36202 Vigo - Pontevedra",Xunta,,+34 886 120 830 / +34 886 120 831 / +34 886 120 832,cii.oficinaturismo.vigo@xunta.gal
OFICINA DE TURISMO DE NIGRÁN,https://www.turismo.gal/recurso/-/detalle/19405/oficina-de-turismo-de-nigran?langId=es_ES&tp=75&ctre=160,"Arquitecto Palacios, nº s/n 36340 Nigrán - Pontevedra",Municipales,,+34 986 368 734,oficinaturismo@nigran.org
OFICINA DE TURISMO DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/271264966/oficina-de-turismo-de-pontevedra?langId=es_ES&tp=75&ctre=160,"Plaza de España, esquina Avenida Montero Ríos, nº s/n 36001 Pontevedra - Pontevedra",Municipales,,+34 986 090 890,info@visit-pontevedra.com
OFICINA DE TURISMO DE PORTONOVO,https://www.turismo.gal/recurso/-/detalle/19418/oficina-de-turismo-de-portonovo?langId=es_ES&tp=75&ctre=160,"Lugar Baltar, nº s/n 36970 Sanxenxo - Pontevedra",Municipales,,+34 986 692 098,oficinaportonovo@turismodesanxenxo.com
OFICINA DE TURISMO DE REDONDELA,https://www.turismo.gal/recurso/-/detalle/19416/oficina-de-turismo-de-redondela?langId=es_ES&tp=75&ctre=160,"Calle Isidoro Queimaliños, nº 2 36800 Redondela - Pontevedra",Municipales,,+34 986 401 713,turismo@redondela.gal
OFICINA DE TURISMO DE SANXENXO,https://www.turismo.gal/recurso/-/detalle/19417/oficina-de-turismo-de-sanxenxo?langId=es_ES&tp=75&ctre=160,Puerto Deportivo JC I 36960 Sanxenxo - Pontevedra,Municipales,,+34 986 720 285,info@turismodesanxenxo.com
OFICINA DE TURISMO DE SOUTOMAIOR,https://www.turismo.gal/recurso/-/detalle/19424/oficina-de-turismo-de-soutomaior?langId=es_ES&tp=75&ctre=160,"Campo da Feira, nº s/n 36690 Soutomaior - Pontevedra",Municipales,,,oficinaturismo@soutomaior.gal
OFICINA DE TURISMO DE TUI,https://www.turismo.gal/recurso/-/detalle/1881/oficina-de-turismo-de-tui?langId=es_ES&tp=75&ctre=160,"Paseo de Calvo Sotelo, nº 16 36700 Tui - Pontevedra",Municipales,,,turismo@tui.gal
OFICINA DE TURISMO DE VIGO,https://www.turismo.gal/recurso/-/detalle/271937625/oficina-de-turismo-de-vigo?langId=es_ES&tp=75&ctre=160,"Calle López de Neira, nº 8 36202 Vigo - Pontevedra",Municipales,,+34 986 224 757,turismodevigo@vigo.org
OFICINA DE TURISMO DE VILAGARCÍA DE AROUSA,https://www.turismo.gal/recurso/-/detalle/19441/oficina-de-turismo-de-vilagarcia-de-arousa?langId=es_ES&tp=75&ctre=160,"Avenida Da Mariña, (Antigo Edificio da Peixería), nº s/n 36600 Vilagarcía de Arousa - Pontevedra",Municipales,,+34 986 501 227,oficinaturismo@vilagarcia.gal
OFICINA DE TURISMO DUNAS DE GAIFAR,https://www.turismo.gal/recurso/-/detalle/277237929/oficina-de-turismo-dunas-de-gaifar?langId=es_ES&tp=75&ctre=1000201,"Plaza Constitución, nº s/n 36350 Nigrán - Pontevedra",Punto de información,,+34 986 368 734,oficinaturismo@nigran.org
