nombre,link,direccion,tipo,categoria,telefono,email
A ARMONA,https://www.turismo.gal/recurso/-/detalle/267683281/a-armona?langId=es_ES&tp=3&ctre=15,A Guarda - Pontevedra,Playa,,,
A BARROSA,https://www.turismo.gal/recurso/-/detalle/9721/a-barrosa?langId=es_ES&tp=3&ctre=15,36988 O Grove - Pontevedra,Playa,,,
A BORNA,https://www.turismo.gal/recurso/-/detalle/10494/a-borna?langId=es_ES&tp=3&ctre=15,36955 Moaña - Pontevedra,Playa,,,
A BRAÑA,https://www.turismo.gal/recurso/-/detalle/10098/a-brana?langId=es_ES&tp=3&ctre=15,36629 Vilanova de Arousa - Pontevedra,Playa,,,
A BURACA,https://www.turismo.gal/recurso/-/detalle/10511/a-buraca?langId=es_ES&tp=3&ctre=15,36390 Vigo - Pontevedra,Playa,,,
A CABALGADA,https://www.turismo.gal/recurso/-/detalle/271013161/a-cabalgada?langId=es_ES&tp=3&ctre=15,Vilanova de Arousa - Pontevedra,Playa,,,
A CABECIÑA,https://www.turismo.gal/recurso/-/detalle/280381940/a-cabecina?langId=es_ES&tp=4&ctre=17,36794 Oia - Pontevedra,Mirador,,,
A CANTEIRA,https://www.turismo.gal/recurso/-/detalle/267912587/a-canteira?langId=es_ES&tp=3&ctre=15,A Illa de Arousa - Pontevedra,Playa,,,
A CARIXA,https://www.turismo.gal/recurso/-/detalle/280381668/a-carixa?langId=es_ES&tp=4&ctre=16,36580 Vila de Cruces - Pontevedra,Área de recreo,,,
A CELESTINA,https://www.turismo.gal/recurso/-/detalle/6804/a-celestina?langId=es_ES&tp=9&ctre=39,"Calle Praza, nº 2 36980 O Grove - Pontevedra",Edificio singular,,,
,https://www.turismo.gal/recurso/-/detalle/267683281/a-armona?langId=es_ES&tp=3&ctre=15,,,,,
,https://www.turismo.gal/recurso/-/detalle/9721/a-barrosa?langId=es_ES&tp=3&ctre=15,,,,,
,https://www.turismo.gal/recurso/-/detalle/10494/a-borna?langId=es_ES&tp=3&ctre=15,,,,,
,https://www.turismo.gal/recurso/-/detalle/10098/a-brana?langId=es_ES&tp=3&ctre=15,,,,,
,https://www.turismo.gal/recurso/-/detalle/10511/a-buraca?langId=es_ES&tp=3&ctre=15,,,,,
,https://www.turismo.gal/recurso/-/detalle/271013161/a-cabalgada?langId=es_ES&tp=3&ctre=15,,,,,
,https://www.turismo.gal/recurso/-/detalle/280381940/a-cabecina?langId=es_ES&tp=4&ctre=17,,,,,
A LANZADA,https://www.turismo.gal/recurso/-/detalle/9739/a-lanzada?langId=es_ES&tp=3&ctre=15,Pontevedra,Playa,,,
A LAPA,https://www.turismo.gal/recurso/-/detalle/9743/a-lapa?langId=es_ES&tp=3&ctre=15,36990 Sanxenxo - Pontevedra,Playa,,,
A LAVAGUEIRA,https://www.turismo.gal/recurso/-/detalle/9728/a-lavagueira?langId=es_ES&tp=3&ctre=15,36989 O Grove - Pontevedra,Playa,,,
A LAXE DAS LEBRES,https://www.turismo.gal/recurso/-/detalle/231211000089/a-laxe-das-lebres?langId=es_ES&tp=11&ctre=67,Calle Illa Canosa 36163 Poio - Pontevedra,Petroglifo,,,
A MADORRA,https://www.turismo.gal/recurso/-/detalle/10519/a-madorra?langId=es_ES&tp=3&ctre=15,36340 Nigrán - Pontevedra,Playa,,,
A MOSQUEIRA,https://www.turismo.gal/recurso/-/detalle/272104461/a-mosqueira?langId=es_ES&tp=3&ctre=15,Moaña - Pontevedra,Playa,,,
A MOUTA,https://www.turismo.gal/recurso/-/detalle/268518231/a-mouta?langId=es_ES&tp=3&ctre=15,Cambados - Pontevedra,Playa,,,
A PENEDA,https://www.turismo.gal/recurso/-/detalle/16687/a-peneda?langId=es_ES&tp=4&ctre=17,36691 Soutomaior - Pontevedra,Mirador,,,
A PONTE NORTE,https://www.turismo.gal/recurso/-/detalle/16353/a-ponte-norte?langId=es_ES&tp=3&ctre=15,36991 O Grove - Pontevedra,Playa,,,
A PONTE SUR,https://www.turismo.gal/recurso/-/detalle/16354/a-ponte-sur?langId=es_ES&tp=3&ctre=15,36991 O Grove - Pontevedra,Playa,,,
A POZA,https://www.turismo.gal/recurso/-/detalle/16340/a-poza?langId=es_ES&tp=3&ctre=15,36988 O Grove - Pontevedra,Playa,,,
A POZA DO CABALO,https://www.turismo.gal/recurso/-/detalle/280381566/a-poza-do-cabalo?langId=es_ES&tp=4&ctre=16,36474 Salceda de Caselas - Pontevedra,Área de recreo,,,
A PUNTA,https://www.turismo.gal/recurso/-/detalle/17431/a-punta?langId=es_ES&tp=3&ctre=15,Vigo - Pontevedra,Playa,,,
A PUNTA - CESANTES,https://www.turismo.gal/recurso/-/detalle/10124/a-punta-cesantes?langId=es_ES&tp=3&ctre=15,Redondela - Pontevedra,Playa,,,
A RAMALLOSA,https://www.turismo.gal/recurso/-/detalle/16877/a-ramallosa?langId=es_ES&tp=1&ctre=9,Pontevedra,ZEC,Red natura 2000,,
A RIBEIRA,https://www.turismo.gal/recurso/-/detalle/10522/a-ribeira?langId=es_ES&tp=3&ctre=15,36300 Baiona - Pontevedra,Playa,,,
A ROIBA,https://www.turismo.gal/recurso/-/detalle/11393/a-roiba?langId=es_ES&tp=3&ctre=15,36939 Bueu - Pontevedra,Playa,,,
A SOBREIRA,https://www.turismo.gal/recurso/-/detalle/268731183/a-sobreira?langId=es_ES&tp=3&ctre=15,Vigo - Pontevedra,Playa,,,
A SOLDADA,https://www.turismo.gal/recurso/-/detalle/280381358/a-soldada?langId=es_ES&tp=4&ctre=16,36120 Cerdedo-Cotobade - Pontevedra,Área de recreo,,,
A SOLDADA,https://www.turismo.gal/recurso/-/detalle/280381359/a-soldada?langId=es_ES&tp=4&ctre=17,36120 Cerdedo-Cotobade - Pontevedra,Mirador,,,
A TESTADA,https://www.turismo.gal/recurso/-/detalle/268786389/a-testada?langId=es_ES&tp=3&ctre=15,36945 Cangas - Pontevedra,Playa,,,
A TULLA,https://www.turismo.gal/recurso/-/detalle/10460/a-tulla?langId=es_ES&tp=3&ctre=15,36939 Bueu - Pontevedra,Playa,,,
A XUNQUEIRA,https://www.turismo.gal/recurso/-/detalle/10142/a-xunqueira?langId=es_ES&tp=3&ctre=15,Moaña - Pontevedra,Playa,,,
ABELEIRAS,https://www.turismo.gal/recurso/-/detalle/268805671/abeleiras?langId=es_ES&tp=3&ctre=15,O Grove - Pontevedra,Playa,,,
ACUARIO DE O GROVE,https://www.turismo.gal/recurso/-/detalle/31311/acuario-de-o-grove?langId=es_ES&tp=63&ctre=21,"Punta Moreiras, nº s/n 36989 O Grove - Pontevedra",Acuario,,+34 986 732 327,reservas@acuariodogrove.es
ADREIRA (ILLA DE TAMBO),https://www.turismo.gal/recurso/-/detalle/268792271/adreira-illa-de-tambo-?langId=es_ES&tp=3&ctre=15,Poio - Pontevedra,Playa,,,
AGRELO,https://www.turismo.gal/recurso/-/detalle/35884/agrelo?langId=es_ES&tp=3&ctre=15,Bueu - Pontevedra,Playa,,,
AGUETE,https://www.turismo.gal/recurso/-/detalle/10140/aguete?langId=es_ES&tp=3&ctre=15,36913 Marín - Pontevedra,Playa,,,
AGUIUNCHO,https://www.turismo.gal/recurso/-/detalle/268268582/aguiuncho?langId=es_ES&tp=3&ctre=15,A Illa de Arousa - Pontevedra,Playa,,,
ALADA,https://www.turismo.gal/recurso/-/detalle/268767031/alada?langId=es_ES&tp=3&ctre=15,36945 Cangas - Pontevedra,Playa,,,
ALAMEDA DE A ESTRADA,https://www.turismo.gal/recurso/-/detalle/28354/alameda-de-a-estrada?langId=es_ES&tp=5&ctre=19,Plaza de La Constitución s/n 36680 A Estrada - Pontevedra,Jardín,,,
ALAMEDA E XARDÍNS DE VICENTI,https://www.turismo.gal/recurso/-/detalle/30880/alameda-e-xardins-de-vicenti?langId=es_ES&tp=5&ctre=18,Gran Vía de Montero Ríos 36001 Pontevedra - Pontevedra,Parque,,,
ALDEA DE A PONTE,https://www.turismo.gal/recurso/-/detalle/21480/aldea-de-a-ponte?langId=es_ES&tp=10&ctre=63,36556 Forcarei - Pontevedra,Conjunto singular,,,
ALDEA DE ANDÓN,https://www.turismo.gal/recurso/-/detalle/21481/aldea-de-andon?langId=es_ES&tp=10&ctre=63,36556 Forcarei - Pontevedra,Conjunto singular,,,
ALDEA DE FILGUEIRA,https://www.turismo.gal/recurso/-/detalle/21454/aldea-de-filgueira?langId=es_ES&tp=10&ctre=63,36116 Cerdedo-Cotobade - Pontevedra,Conjunto singular,,,
ALDEA DE FRAGUAS,https://www.turismo.gal/recurso/-/detalle/21452/aldea-de-fraguas?langId=es_ES&tp=10&ctre=63,36116 Cerdedo-Cotobade - Pontevedra,Conjunto singular,,,
ALDEA DE GROBAS,https://www.turismo.gal/recurso/-/detalle/21459/aldea-de-grobas?langId=es_ES&tp=10&ctre=63,36556 Forcarei - Pontevedra,Conjunto singular,,,
ALDEA DE PEDRE,https://www.turismo.gal/recurso/-/detalle/21453/aldea-de-pedre?langId=es_ES&tp=10&ctre=63,36139 Cerdedo-Cotobade - Pontevedra,Conjunto singular,,,
ALDEA DE SERRAPIO,https://www.turismo.gal/recurso/-/detalle/21455/aldea-de-serrapio?langId=es_ES&tp=10&ctre=63,36139 Cerdedo-Cotobade - Pontevedra,Conjunto singular,,,
ALPENDRE DE SANTA MARÍA DE DARBO,https://www.turismo.gal/recurso/-/detalle/21447/alpendre-de-santa-maria-de-darbo?langId=es_ES&tp=10&ctre=63,36949 Cangas - Pontevedra,Conjunto singular,,,
ALVARIZA DE SAN BARTOLOMEU DE PEREIRA,https://www.turismo.gal/recurso/-/detalle/3860/alvariza-de-san-bartolomeu-de-pereira?langId=es_ES&tp=10&ctre=50,36557 Forcarei - Pontevedra,"""Alvariza""",,,
ALVARIZA DO CANDÁN,https://www.turismo.gal/recurso/-/detalle/17326/alvariza-do-candan?langId=es_ES&tp=10&ctre=50,36556 Forcarei - Pontevedra,"""Alvariza""",,,
ALVARIZA EN A FREIXEIRA,https://www.turismo.gal/recurso/-/detalle/17327/alvariza-en-a-freixeira?langId=es_ES&tp=10&ctre=50,36556 Forcarei - Pontevedra,"""Alvariza""",,,
ALVARIZA EN A ROCHELA,https://www.turismo.gal/recurso/-/detalle/17328/alvariza-en-a-rochela?langId=es_ES&tp=10&ctre=50,36556 Forcarei - Pontevedra,"""Alvariza""",,,
ANCORADOURO,https://www.turismo.gal/recurso/-/detalle/10463/ancoradouro?langId=es_ES&tp=3&ctre=15,36939 Bueu - Pontevedra,Playa,,,
ANTIGA CASA DO CONCELLO DE VIGO,https://www.turismo.gal/recurso/-/detalle/26731/antiga-casa-do-concello-de-vigo?langId=es_ES&tp=9&ctre=39,Plaza da Constitución 36202 Vigo - Pontevedra,Edificio singular,,,
ANTIGO COLEXIO DOS XESUÍTAS,https://www.turismo.gal/recurso/-/detalle/181130000338/antigo-colexio-dos-xesuitas?langId=es_ES&tp=9&ctre=39,36788 A Guarda - Pontevedra,Edificio singular,,,
ANTIGO EDIFICIO DA CAIXA DE AFORROS,https://www.turismo.gal/recurso/-/detalle/26650/antigo-edificio-da-caixa-de-aforros?langId=es_ES&tp=9&ctre=39,"Calle Velázquez Moreno, nº 53 36202 Vigo - Pontevedra",Edificio singular,,,
ANTIGO MERCADO POPULAR. PENDELLOS DE A GOLADA,https://www.turismo.gal/recurso/-/detalle/28478/antigo-mercado-popular.-pendellos-de-a-golada?langId=es_ES&tp=7&ctre=27,36520 Agolada - Pontevedra,Conjunto histórico,,,
ARAUCARIA DO BRASIL,https://www.turismo.gal/recurso/-/detalle/190531000584/araucaria-do-brasil?langId=es_ES&tp=40003930&ctre=40000140,Caldas de Reis - Pontevedra,Naturaleza en el Camino,,,
