nombre,link,direccion,tipo,categoria,telefono,email
ACQUAVISION GALICIA S.L.,https://www.turismo.gal/recurso/-/detalle/278574564/acquavision-galicia-s.l.?langId=es_ES&tp=52&ctre=295,"Calle Hospital, nº 12 36980 O Grove - Pontevedra",Transporte en barco,,+34 986 731 246,
ÁREA DE ARCADE,https://www.turismo.gal/recurso/-/detalle/280382487/area-de-arcade?langId=es_ES&tp=42&ctre=1000260,"Calle do Peirao, nº s/n 36691 Soutomaior - Pontevedra",Áreas de Autocaravanas,,+34 986 705 114,
AREA AUTOCAMPER SANXENXO,https://www.turismo.gal/recurso/-/detalle/200805000227/area-autocamper-sanxenxo?langId=es_ES&tp=42&ctre=1000260,"Camino de Canelas,, nº s/n 36970 Sanxenxo - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE A CARIXA,https://www.turismo.gal/recurso/-/detalle/280382501/area-de-a-carixa?langId=es_ES&tp=42&ctre=1000260,"Estrada Merza-Bodaño, nº s/n 36590 Vila de Cruces - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE A PRAGUEIRA,https://www.turismo.gal/recurso/-/detalle/280382498/area-de-a-pragueira?langId=es_ES&tp=42&ctre=1000260,"Praia Pragueira, nº 172 Sanxenxo - Pontevedra",Áreas de Autocaravanas,,,playapragueira@telefonica.net
ÁREA DE AGOLADA,https://www.turismo.gal/recurso/-/detalle/280382485/area-de-agolada?langId=es_ES&tp=42&ctre=1000260,Recinto do mercado de gando 36527 Agolada - Pontevedra,Áreas de Autocaravanas,,+34 986 788 062,
ÁREA DE ARBO,https://www.turismo.gal/recurso/-/detalle/280382486/area-de-arbo?langId=es_ES&tp=42&ctre=1000260,Estrada PO 400 36430 Arbo - Pontevedra,Áreas de Autocaravanas,,+34 986 665 000,
ÁREA DE AS NEVES,https://www.turismo.gal/recurso/-/detalle/280382488/area-de-as-neves?langId=es_ES&tp=42&ctre=1000260,"Plaza Praza San Agustín, nº s/n 36440 As Neves - Pontevedra",Áreas de Autocaravanas,,,
"ÁREA DE CAMPING CAR ÁREA, PLAYA ARNELES",https://www.turismo.gal/recurso/-/detalle/151028000075/area-de-camping-car-area-playa-arneles?langId=es_ES&tp=42&ctre=1000260,Carretera Viso-Vilanova 36948 Cangas - Pontevedra,Áreas de Autocaravanas,,,
ÁREA DE CANGAS,https://www.turismo.gal/recurso/-/detalle/280383311/area-de-cangas?langId=es_ES&tp=42&ctre=1000260,"O Gatañal, nº s/n 36940 Cangas - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE DENA,https://www.turismo.gal/recurso/-/detalle/280382489/area-de-dena?langId=es_ES&tp=42&ctre=1000260,nº s/n 36968 Meaño - Pontevedra,Áreas de Autocaravanas,,,
ÁREA DE FORCAREI,https://www.turismo.gal/recurso/-/detalle/280382490/area-de-forcarei?langId=es_ES&tp=42&ctre=1000260,"Lugar de A Madalena, nº s/n 36558 Forcarei - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE MONDARIZ,https://www.turismo.gal/recurso/-/detalle/160525000085/area-de-mondariz?langId=es_ES&tp=42&ctre=1000260,"Área recreativa da Praia do Val (Mondariz), nº s/n 36870 Mondariz - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE POIO,https://www.turismo.gal/recurso/-/detalle/200116000159/area-de-poio?langId=es_ES&tp=42&ctre=1000260,Calle Camino de la Fábrica Poio - Pontevedra,Áreas de Autocaravanas,,+34 986 833 204.,
ÁREA DE PONTE CALDELAS,https://www.turismo.gal/recurso/-/detalle/280382492/area-de-ponte-caldelas?langId=es_ES&tp=42&ctre=1000260,"Praza Chan de Barcia, nº s/n 36820 Ponte Caldelas - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/280382493/area-de-pontevedra?langId=es_ES&tp=42&ctre=1000260,"Calle Jose Malvar Figueroa - Urbanizacion Tafisa, nº s/n 36002 Pontevedra - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE REDONDELA,https://www.turismo.gal/recurso/-/detalle/280382494/area-de-redondela?langId=es_ES&tp=42&ctre=1000260,"Paseo do Pexegueiro, nº s/n 36800 Redondela - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE SALCEDA DE CASELAS,https://www.turismo.gal/recurso/-/detalle/280383451/area-de-salceda-de-caselas?langId=es_ES&tp=42&ctre=1000260,"Calle Gándara, nº s/n 36470 Salceda de Caselas - Pontevedra",Áreas de Autocaravanas,,,
ÁREA DE TUI,https://www.turismo.gal/recurso/-/detalle/280382499/area-de-tui?langId=es_ES&tp=42&ctre=1000260,"Ponte Tripes, nº s/n 36700 Tui - Pontevedra",Áreas de Autocaravanas,,,
