nombre,link,direccion,tipo,categoria,telefono,email,web
BOCATERIA TRIS,https://www.turismo.gal/recurso/-/detalle/v-po-001173/-bocateria-tris?langId=es_ES&tp=1001549&ctre=40000240,"Calle FRAY JUAN DE NAVARRETE, nº 10 36001 Pontevedra - Pontevedra",Café bar,,,bocateriatris@hotmail.es,https://www.facebook.com/bocateriatris
3 NORTES,https://www.turismo.gal/recurso/-/detalle/v-po-008845/3-nortes-?langId=es_ES&tp=1001549&ctre=40000240,"Praza de San José, nº 2 36001 Pontevedra - Pontevedra",Café bar,,,3nortespontevedra@gmail.com,
33,https://www.turismo.gal/recurso/-/detalle/v-po-005481/33?langId=es_ES&tp=1001549&ctre=40000240,"Calle Rosalía de Castro, nº 78 36003 Pontevedra - Pontevedra",Café bar,,,,
A CAPELA,https://www.turismo.gal/recurso/-/detalle/v-po-006865/a-capela?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Mauro, nº 35 36004 Pontevedra - Pontevedra",Café bar,,,,
A CASA DA LEÑA,https://www.turismo.gal/recurso/-/detalle/22596/a-casa-da-lena?langId=es_ES&tp=24&ctre=142,"Calle Figueroa , nº 33 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 722 489 576,GGUERRERO_04@HOTMAIL.COM,
A CASA DE PEDRA,https://www.turismo.gal/recurso/-/detalle/259729784/a-casa-de-pedra?langId=es_ES&tp=24&ctre=142,"Calle Ramón Otero Pedrayo, nº 9 36004 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 651 668 376,alvaropsampaio@hotmail.es,
A CASTAÑA,https://www.turismo.gal/recurso/-/detalle/v-po-003674/a-castana?langId=es_ES&tp=1001549&ctre=40000240,"Calle Cruz Vermella, nº 8 36002 Pontevedra - Pontevedra",Café bar,,,malaquiasrivasjm@gmail.com,
A DE BERNARDINO,https://www.turismo.gal/recurso/-/detalle/210311001238/a-de-bernardino?langId=es_ES&tp=1001549&ctre=40000240,"Lugar VIlares, nº 11 36154 Pontevedra - Pontevedra",Café bar,,,,
A DE MEIRA,https://www.turismo.gal/recurso/-/detalle/v-po-006092/a-de-meira?langId=es_ES&tp=1001549&ctre=40000240,"RÚA LOUREIRO CRESPO,Nº 72 36004 Pontevedra - Pontevedra",Café bar,,,,
A DE PACO,https://www.turismo.gal/recurso/-/detalle/v-po-008625/a-de-paco?langId=es_ES&tp=1001549&ctre=40000240,"Igrexa , nº 34 36143 Pontevedra - Pontevedra",Café bar,,,,
A DE PILI,https://www.turismo.gal/recurso/-/detalle/171205000016/a-de-pili?langId=es_ES&tp=1001549&ctre=40000240,"LG. FONTANS - SANTA MARIA DE XEVE, nº 15 36151 Pontevedra - Pontevedra",Café bar,,,,
A DE TITA,https://www.turismo.gal/recurso/-/detalle/v-po-007389/a-de-tita?langId=es_ES&tp=1001549&ctre=40000240,"Calle RAFAEL DIESTE, nº 3 36004 Pontevedra - Pontevedra",Café bar,,,adetitapontevedra@gmail.com,
A DEVESA 1,https://www.turismo.gal/recurso/-/detalle/v-po-007189/a-devesa-1?langId=es_ES&tp=1001549&ctre=40000240,"Calle Loureiro Crespo, nº 56 36004 Pontevedra - Pontevedra",Café bar,,,,
A DEVESA 6,https://www.turismo.gal/recurso/-/detalle/v-po-008710/a-devesa-6?langId=es_ES&tp=1001549&ctre=40000240,JUAN BAUTISTA ANDRADE ESQUINA LUIS OTERO 5 Pontevedra - Pontevedra,Café bar,,,,https://www.adevesa.es/
