restaurant_url;nombre_tripadvisor;calificacion_tripadvisor;ubicacion_tripadvisor;web_tripadvisor;telefono_tripadvisor;correo_tripadvisor;acerca_de_tripadvisor;general_hours;daily_hours;features_before;features_after
https://www.tripadvisor.com/Restaurant_Review-g488307-d23942003-Reviews-Gumer_Pontevedra-Pontevedra_Province_of_Pontevedra_Galicia.html;Gumer Pontevedra;4.8;Calle General Martitegui 4, 36002 Pontevedra Spain;https://gumer.es/menu/;+34 886 21 46 50;info@gumer.es;"About
Travelers' Choice
2025
Features
See all features
Gluten free options
Accepts Credit Cards
Lunch, Dinner";;;"About
Travelers' Choice
2025";"See all features
Gluten free options
Accepts Credit Cards
Lunch, Dinner"
https://www.tripadvisor.com/Restaurant_Review-g488307-d6213155-Reviews-El_Cafetin_de_Pontevedra-Pontevedra_Province_of_Pontevedra_Galicia.html;El Cafetín de Pontevedra;4.2;Alameda Arquitecto Sesmeros, 36002 Pontevedra Spain;http://www.facebook.com/elcafetindepontevedra;+34 986 84 78 73;info@elcafetindepontevedra.com;"About
Features
See all features
Vegetarian friendly, Vegan options, Gluten free options
Accepts credit cards: Mastercard, Visa
Breakfast, Lunch, Dinner, Brunch";;;About;"See all features
Vegetarian friendly, Vegan options, Gluten free options
Accepts credit cards: Mastercard, Visa
Breakfast, Lunch, Dinner, Brunch"
https://www.tripadvisor.com/Restaurant_Review-g488307-d10077844-Reviews-La_Quesera_Cheese_Bar-Pontevedra_Province_of_Pontevedra_Galicia.html;La Quesera Cheese Bar;4.4;Rua Manuel Quiroga 18, 36002 Pontevedra Spain;https://www.facebook.com/La-Quesera-Cheese-Bar-Pontevedra-640235272784274/;;;"About
Features
See all features
Gluten free options
Accepts Credit Cards
Lunch, Dinner, Brunch";;;About;"See all features
Gluten free options
Accepts Credit Cards
Lunch, Dinner, Brunch"
https://www.tripadvisor.com/Restaurant_Review-g488307-d12208923-Reviews-Asador_O_Rancho-Pontevedra_Province_of_Pontevedra_Galicia.html;Asador O Rancho;4.7;Lugar A Ermida 9, 36152 Pontevedra Spain;https://www.instagram.com/asadororancho/;+34 646 64 02 12;;"About
Features
See all features
Accepts Credit Cards
Lunch, Dinner, Drinks
Family style, Table Service, Takeout";;;About;"See all features
Accepts Credit Cards
Lunch, Dinner, Drinks
Family style, Table Service, Takeout"
https://www.tripadvisor.com/Restaurant_Review-g488307-d1674727-Reviews-PonteTapas-Pontevedra_Province_of_Pontevedra_Galicia.html;PonteTapas;4.3;Rua Real 4, 36002 Pontevedra Spain;http://www.pontetapas.tk/;+34 986 85 36 87;pontetapas@hotmail.com;"About
Features
See all features
Vegetarian friendly, Vegan options, Gluten free options
Lunch, Dinner
Table Service";;;About;"See all features
Vegetarian friendly, Vegan options, Gluten free options
Lunch, Dinner
Table Service"
https://www.tripadvisor.com/Restaurant_Review-g488307-d8058185-Reviews-IceWolf_Pontevedra-Pontevedra_Province_of_Pontevedra_Galicia.html;IceWolf Pontevedra;4.6;Rua Dona Tareixa 4 Bajo, 36002 Pontevedra Spain;https://www.icewolf.es/gastro/;+34 623 18 18 14;icewolfpontevedra@gmail.com;"About
Features
See all features
Vegetarian friendly, Vegan options, Gluten free options
Accepts Credit Cards
Lunch, Dinner, Late Night, Drinks";;;About;"See all features
Vegetarian friendly, Vegan options, Gluten free options
Accepts Credit Cards
Lunch, Dinner, Late Night, Drinks"
https://www.tripadvisor.com/Restaurant_Review-g488307-d3292924-Reviews-Restaurante_Vinoteca_Bagos-Pontevedra_Province_of_Pontevedra_Galicia.html;Restaurante Vinoteca Bagos;4.4;Rua Michelena 20, 36002 Pontevedra Spain;https://www.vinotecabagos.com/;+34 986 85 24 60;bagossl@yahoo.es;"About
Features
See all features
Vegetarian friendly, Vegan options, Gluten free options
Accepts Credit Cards
Lunch, Dinner";;;About;"See all features
Vegetarian friendly, Vegan options, Gluten free options
Accepts Credit Cards
Lunch, Dinner"
https://www.tripadvisor.com/Restaurant_Review-g488307-d4564306-Reviews-La_Estafeta_Taperia-Pontevedra_Province_of_Pontevedra_Galicia.html;La Estafeta Taperia;4.3;Praza Celso García De La Riega, 6, 36002 Pontevedra Spain;http://movil.estafeta.com/;+34 986 86 00 96;;"About
Features
See all features
Vegetarian friendly, Vegan options, Gluten free options
Lunch, Dinner
Table Service";;;About;"See all features
Vegetarian friendly, Vegan options, Gluten free options
Lunch, Dinner
Table Service"
https://www.tripadvisor.com/Restaurant_Review-g488307-d2289720-Reviews-Casa_Fidel_O_Pulpeiro-Pontevedra_Province_of_Pontevedra_Galicia.html;Casa Fidel - O Pulpeiro;4.3;Calle de San Nicolás, Nº 7, 36002 Pontevedra Spain;http://www.opulpeiro.es/;+34 986 85 12 34;;"About
Travelers' Choice
2025
Features
See all features
Gluten free options
Accepts Credit Cards
Lunch, Dinner";;;"About
Travelers' Choice
2025";"See all features
Gluten free options
Accepts Credit Cards
Lunch, Dinner"
https://www.tripadvisor.com/Restaurant_Review-g488307-d1904513-Reviews-Restaurante_Eirado_Da_Lena-Pontevedra_Province_of_Pontevedra_Galicia.html;Restaurante Eirado Da Lena;4.4;Praza Lena 1 y 3, 36002 Pontevedra Spain;https://oeirado.com/;+34 986 86 02 25;;"About
MICHELIN
View more on MICHELIN Guide
1 MICHELIN Star: High quality cooking, worth a stop!
If you’re looking for a restaurant that exudes the true spirit of Pontevedra, then look no further, as Eirado occupies one of the most charming properties in the town’s old quarter. Its compact dining rooms are imbued with the warmth and beauty that come with the bare stone walls that typify the character of this particular restaurant. Chef Iñaki Bretal creates modern cooking with clearly evident Galician and maritime roots (he buys his fish and seafood daily from the auction in Ribeira), demonstrating high levels of technique and not being afraid to incorporate touches of fusion, taking flavours acquired on his travels (Mexico, Japan, Germany, Canada etc) and merging them with what he refers to as “the very best of the best ingredients”. In addition to a meticulous à la carte, he offers two interesting tasting menus (Currican and Palangre) that vary in their number of courses, as well as an extensive wine list, from which young sommelier Raquel Fernández (who is also in charge of the dining room) creates some surprising wine pairings.
Read more on MICHELIN Guide
Features
See all features
Vegetarian friendly, Gluten free options
Accepts Credit Cards
Lunch, Dinner";;;"About
MICHELIN
View more on MICHELIN Guide
1 MICHELIN Star: High quality cooking, worth a stop!
If you’re looking for a restaurant that exudes the true spirit of Pontevedra, then look no further, as Eirado occupies one of the most charming properties in the town’s old quarter. Its compact dining rooms are imbued with the warmth and beauty that come with the bare stone walls that typify the character of this particular restaurant. Chef Iñaki Bretal creates modern cooking with clearly evident Galician and maritime roots (he buys his fish and seafood daily from the auction in Ribeira), demonstrating high levels of technique and not being afraid to incorporate touches of fusion, taking flavours acquired on his travels (Mexico, Japan, Germany, Canada etc) and merging them with what he refers to as “the very best of the best ingredients”. In addition to a meticulous à la carte, he offers two interesting tasting menus (Currican and Palangre) that vary in their number of courses, as well as an extensive wine list, from which young sommelier Raquel Fernández (who is also in charge of the dining room) creates some surprising wine pairings.
Read more on MICHELIN Guide";"See all features
Vegetarian friendly, Gluten free options
Accepts Credit Cards
Lunch, Dinner"
https://www.tripadvisor.com/Restaurant_Review-g488307-d10693450-Reviews-Kamal_Gastroteca-Pontevedra_Province_of_Pontevedra_Galicia.html;Kamal Gastroteca;4.2;Rua Don Gonzalo No 2, 36002 Pontevedra Spain;http://www.facebook.com/Kamal-gastroteca-316352998700145/;+34 646 09 30 83;Kamalgastroteca@gmail.com;"About
Features
See all features
Vegetarian friendly
Accepts credit cards: Mastercard, Visa
Breakfast, Lunch, Dinner, Late Night, Drinks";;;About;"See all features
Vegetarian friendly
Accepts credit cards: Mastercard, Visa
Breakfast, Lunch, Dinner, Late Night, Drinks"
